,ciao,necs_cent_cont,necs_cent_off,swiss_cent_geriatric,swiss_cent_healthy,swiss_geriatric_healthy,ukbb
ciao,390,36,46,15,5,4,49
necs_cent_cont,36,103,90,3,1,0,13
necs_cent_off,46,90,128,3,1,0,16
swiss_cent_geriatric,15,3,3,55,4,3,1
swiss_cent_healthy,5,1,1,4,8,7,0
swiss_geriatric_healthy,4,0,0,3,7,7,0
ukbb,49,13,16,1,0,0,96
