Term,NES_ciao,FDR_q_val_ciao,NES_swiss_cent_healthy,FDR_q_val_swiss_cent_healthy
REACTOME_BIOLOGICAL_OXIDATIONS,-2.1483642876710065,0.01198779265070734,-1.0973469220180718,0.8043575319224932
REACTOME_INTRACELLULAR_SIGNALING_BY_SECOND_MESSENGERS,-1.3759272776821447,0.2689959186859779,-0.7543515767555407,0.9637595193448395
REACTOME_METABOLISM_OF_NUCLEOTIDES,-1.3943638986189244,0.259902747842856,-1.648929543242236,0.14787034556656845
REACTOME_NEGATIVE_REGULATION_OF_THE_PI3K_AKT_NETWORK,-0.8650993966943716,0.8255085785659048,-0.6738906543397171,0.9402625234395928
REACTOME_PI3K_AKT_SIGNALING_IN_CANCER,-0.8878117252908421,0.8040336994250376,-0.8637702090623427,1.0
