Term,NES_ciao,FDR_q_val_ciao,NES_necs_cent_cont,FDR_q_val_necs_cent_cont
REACTOME_ANTIGEN_PROCESSING_UBIQUITINATION_PROTEASOME_DEGRADATION,-1.160178011182147,0.5095737574824805,-0.9051947999884193,0.946334468411276
REACTOME_BIOLOGICAL_OXIDATIONS,-2.1483642876710065,0.01198779265070734,-1.12408760687417,0.9193616313921386
REACTOME_CARGO_RECOGNITION_FOR_CLATHRIN_MEDIATED_ENDOCYTOSIS,-1.1668164811287531,0.5010354555182442,-0.9569047326364221,0.9387376848758527
REACTOME_CIRCADIAN_CLOCK,-2.0225344246324704,0.01675312637521212,-0.7313190623552313,1.0
REACTOME_COMPLEX_IV_ASSEMBLY,-1.9220758447770045,0.023878123572547136,-0.9731422365092703,0.9600152443962785
REACTOME_CYTOPROTECTION_BY_HMOX1,-1.0226638598879045,0.6822110692984604,-1.0368526622968965,0.9995575977178637
REACTOME_DEUBIQUITINATION,-1.849604002103179,0.03819639815176357,-0.9539520989104455,0.9312428806965407
REACTOME_DISEASES_OF_CARBOHYDRATE_METABOLISM,-1.144579158231287,0.5338940176732196,-1.0017162780403523,0.9452122418492296
REACTOME_DISORDERS_OF_TRANSMEMBRANE_TRANSPORTERS,-1.2534049881931613,0.3990276264394251,-1.1990149913458836,0.8122842694822956
REACTOME_EGFR_DOWNREGULATION,-0.7517282260954921,0.9404626265734524,-0.8335021884092171,1.0
REACTOME_GASTRULATION,-1.3268699883231518,0.3143400013779072,-0.8067027024154496,0.9885890170231826
REACTOME_GENERATION_OF_SECOND_MESSENGER_MOLECULES,-1.1987611242303715,0.4540090236539411,-0.8140983384078592,1.0
REACTOME_G_ALPHA_S_SIGNALLING_EVENTS,-1.2853783787642423,0.3593073145797521,-0.7296270220374156,0.9966656497371563
REACTOME_INTRA_GOLGI_TRAFFIC,-0.8760942267553431,0.8130214220215406,-0.6363551926998204,1.0
REACTOME_METABOLISM_OF_AMINO_ACIDS_AND_DERIVATIVES,-1.2487134226313603,0.3996811820712757,-0.812185554377484,0.990119667084553
REACTOME_METABOLISM_OF_LIPIDS,-1.3659172666916277,0.27593019626136406,-1.369177805695929,0.7160304632949989
REACTOME_METABOLISM_OF_STEROIDS,-1.2523959955266901,0.3982640845585814,-1.2797411725848904,0.7855436823243596
REACTOME_MITOCHONDRIAL_BIOGENESIS,-1.6593093116904514,0.09973568900626163,-1.2129799006049224,0.8321291594820165
REACTOME_MITOCHONDRIAL_PROTEIN_IMPORT,-1.1629974649416097,0.5062856839205306,-1.3420849686340481,0.7069397760773003
REACTOME_MITOCHONDRIAL_TRANSLATION,-0.9491546280298035,0.7495495482982678,-1.271559456479639,0.7734391761424587
REACTOME_NEDDYLATION,-1.529286992231096,0.16236967053158108,-0.9969147105241626,0.9408548086330292
REACTOME_NEUROTRANSMITTER_RELEASE_CYCLE,-0.9329389876314101,0.765152950786768,-1.0830161284453745,1.0
REACTOME_PHASE_I_FUNCTIONALIZATION_OF_COMPOUNDS,-1.9997394700535474,0.01617400595730355,-1.293317777620152,0.7799413397043853
REACTOME_PHOSPHOLIPID_METABOLISM,-0.9108689703393922,0.7932956234285612,-1.2312576031759477,0.8039354896439119
REACTOME_POTASSIUM_CHANNELS,-1.1040315324001317,0.5932150157177916,-1.460652536219417,0.5856411501122936
REACTOME_PROTEIN_LOCALIZATION,-1.7380169510283496,0.07439428926091804,-0.9511063239521826,0.9238230714197837
REACTOME_RAB_GERANYLGERANYLATION,-1.9215851013586664,0.02337755482904379,-1.0358571973453803,0.978731432883949
REACTOME_REGULATION_OF_LIPID_METABOLISM_BY_PPARALPHA,-1.058095773636482,0.6412106818963573,-1.6377443268041278,0.3921759491022167
REACTOME_RESPIRATORY_ELECTRON_TRANSPORT,-1.5832050340673254,0.1404576192475328,-1.0750004506611135,1.0
REACTOME_RETROGRADE_TRANSPORT_AT_THE_TRANS_GOLGI_NETWORK,-0.9689438588700257,0.7243161237060258,-0.6946349418095867,1.0
REACTOME_SIGNALING_BY_RETINOIC_ACID,-2.245179849638493,0.017125418072439055,-1.5476683141224292,0.5050885201872115
REACTOME_SLC_MEDIATED_TRANSMEMBRANE_TRANSPORT,-0.8055826797755741,0.9021208704470999,-1.6708617863436153,0.4722480472319563
REACTOME_SYNTHESIS_SECRETION_AND_DEACYLATION_OF_GHRELIN,-0.881760244794972,0.806372571136885,-0.9088722774210787,0.9508519025086019
REACTOME_TP53_REGULATES_TRANSCRIPTION_OF_CELL_CYCLE_GENES,-1.329399334536143,0.31306413859391047,-0.6636098423541781,1.0
REACTOME_TRANSCRIPTIONAL_ACTIVATION_OF_MITOCHONDRIAL_BIOGENESIS,-1.030636487459987,0.6716867009999417,-1.6897925854073157,0.5510924641297237
REACTOME_UB_SPECIFIC_PROCESSING_PROTEASES,-2.032254101332876,0.016513795998423373,-1.0260169546481022,0.9672795740712098
