Term,NES_ciao,FDR_q_val_ciao,NES_swiss_geriatric_healthy,FDR_q_val_swiss_geriatric_healthy
REACTOME_INTRACELLULAR_SIGNALING_BY_SECOND_MESSENGERS,-1.3759272776821447,0.2689959186859779,-1.17002494032287,1.0
REACTOME_METABOLISM_OF_NUCLEOTIDES,-1.3943638986189244,0.259902747842856,-0.864232927245115,0.6856649395509499
REACTOME_NEGATIVE_REGULATION_OF_THE_PI3K_AKT_NETWORK,-0.8650993966943716,0.8255085785659048,-1.0888177915221857,0.7374784110535406
REACTOME_PI3K_AKT_SIGNALING_IN_CANCER,-0.8878117252908421,0.8040336994250376,-1.0105763295758718,0.6105354058721933
