Term,NES_ciao,FDR_q_val_ciao,NES_swiss_cent_geriatric,FDR_q_val_swiss_cent_geriatric
REACTOME_ASSEMBLY_OF_COLLAGEN_FIBRILS_AND_OTHER_MULTIMERIC_STRUCTURES,2.081789677597249,0.0009193082014261726,1.3352561607279225,0.2554607280120847
REACTOME_BINDING_AND_UPTAKE_OF_LIGANDS_BY_SCAVENGER_RECEPTORS,1.720068027466499,0.04847352266433003,1.6841991554495028,0.11890906541400827
REACTOME_CELL_CELL_COMMUNICATION,1.2329229474805106,0.5434944446903917,1.3058164233829457,0.26894762672649514
REACTOME_COLLAGEN_DEGRADATION,2.1436918848260444,0.00035750874499906714,1.5094411574250588,0.22867559419476968
REACTOME_COLLAGEN_FORMATION,2.065313415679279,0.0009652736114974812,1.2120399202115493,0.3724537399079922
REACTOME_CONSTITUTIVE_SIGNALING_BY_ABERRANT_PI3K_IN_CANCER,0.7665834508477848,0.9449631328439386,0.767522091468838,0.8803452034188907
REACTOME_DEGRADATION_OF_THE_EXTRACELLULAR_MATRIX,2.164052673480725,0.0003016480035929629,1.351890282232028,0.2595526887751525
REACTOME_DEVELOPMENTAL_CELL_LINEAGES,1.381846984995423,0.32299797895837595,1.354577836503549,0.28502652550889246
REACTOME_DEVELOPMENTAL_CELL_LINEAGES_OF_THE_EXOCRINE_PANCREAS,1.0314493950151917,0.7854352807972674,1.4089591053212756,0.2774010676976392
REACTOME_DISEASES_OF_GLYCOSYLATION,2.2429325810128105,0.00016087893524958021,1.0615695851891573,0.5070297066453308
REACTOME_ECM_PROTEOGLYCANS,1.550497007807467,0.16230386296179075,1.8558350416271352,0.04627357498422492
REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION,2.2351170380898284,0.00013406577937465016,1.48215210824972,0.2212718221972937
REACTOME_IMMUNOREGULATORY_INTERACTIONS_BETWEEN_A_LYMPHOID_AND_A_NON_LYMPHOID_CELL,1.1066395379032294,0.6893985569734076,1.5253319942352181,0.26249737081960317
REACTOME_INTEGRIN_CELL_SURFACE_INTERACTIONS,1.9814193964415265,0.003619776043115555,1.9124734497363454,0.05552828998106991
REACTOME_L1CAM_INTERACTIONS,1.3784246009648786,0.324355669699502,1.4035819121282567,0.24956180326719485
REACTOME_MITF_M_REGULATED_MELANOCYTE_DEVELOPMENT,1.093749648460495,0.7088930061263816,0.8656421671462735,0.8815817149267335
REACTOME_NEUTROPHIL_DEGRANULATION,1.1794822288224447,0.5994941839266068,0.6974753595207435,0.889013531515109
REACTOME_PEPTIDE_HORMONE_METABOLISM,1.2296090435147726,0.545355214899827,0.8268858632344639,0.8693122064081891
REACTOME_SIGNALING_BY_TGFB_FAMILY_MEMBERS,0.9412990921802522,0.8702318913295983,1.2029730358990165,0.35889063611141714
REACTOME_TOLL_LIKE_RECEPTOR_CASCADES,1.463910885156739,0.24081128449151837,0.7933339904920107,0.884446269568614
