Term,NES_ciao,FDR_q_val_ciao,NES_swiss_cent_healthy,FDR_q_val_swiss_cent_healthy
REACTOME_APOPTOSIS,0.7560450740863254,0.9465575167510831,0.6766518454887378,0.996278888183707
REACTOME_ASSEMBLY_OF_COLLAGEN_FIBRILS_AND_OTHER_MULTIMERIC_STRUCTURES,2.081789677597249,0.0009193082014261726,1.3208677810810638,0.5311612880368112
REACTOME_BINDING_AND_UPTAKE_OF_LIGANDS_BY_SCAVENGER_RECEPTORS,1.720068027466499,0.04847352266433003,0.8588649079155475,0.9632959494388655
REACTOME_CELL_CELL_COMMUNICATION,1.2329229474805106,0.5434944446903917,1.1313712778518845,0.7584549620634492
REACTOME_CELL_SURFACE_INTERACTIONS_AT_THE_VASCULAR_WALL,0.9061433965329377,0.9074817141073611,0.7101495591196227,0.9980952465308159
REACTOME_CHEMOKINE_RECEPTORS_BIND_CHEMOKINES,1.2677009360528806,0.48625921053262827,1.437626999711131,1.0
REACTOME_CLASS_A_1_RHODOPSIN_LIKE_RECEPTORS,1.4604253379678376,0.2418147315043956,1.3415981180352337,0.5481565626370122
REACTOME_COLLAGEN_DEGRADATION,2.1436918848260444,0.00035750874499906714,1.4207087219138017,0.7041797866262771
REACTOME_COLLAGEN_FORMATION,2.065313415679279,0.0009652736114974812,1.269212296765539,0.6180557216309936
REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM,1.2332573777892017,0.5459257844120476,1.2148944007402045,0.6842958366461013
REACTOME_DEATH_RECEPTOR_SIGNALING,0.6325687267241348,0.9969273410753954,0.8304095628763405,0.9769588748902394
REACTOME_DEGRADATION_OF_THE_EXTRACELLULAR_MATRIX,2.164052673480725,0.0003016480035929629,1.3553816663879672,0.6149192209069047
REACTOME_DENGUE_VIRUS_ATTACHMENT_AND_ENTRY,1.4393953791325098,0.2669209041355535,0.9089106703745226,0.8796351654775666
REACTOME_DEVELOPMENTAL_CELL_LINEAGES,1.381846984995423,0.32299797895837595,0.9190515986188272,0.8741695251180307
REACTOME_DEVELOPMENTAL_CELL_LINEAGES_OF_THE_EXOCRINE_PANCREAS,1.0314493950151917,0.7854352807972674,1.1567553568377202,0.692207025042132
REACTOME_DEVELOPMENTAL_CELL_LINEAGES_OF_THE_INTEGUMENTARY_SYSTEM,1.6149097446185576,0.10928860550513857,1.0513297950396991,0.8131319170419972
REACTOME_DEVELOPMENTAL_LINEAGES_OF_THE_MAMMARY_GLAND,1.2790825664544094,0.46714952691538103,1.0928671112179231,0.7687374613044229
REACTOME_DISEASES_OF_GLYCOSYLATION,2.2429325810128105,0.00016087893524958021,1.4284018602578845,0.8769624580936312
REACTOME_DISEASES_OF_METABOLISM,1.553845570684883,0.160156145830343,1.0261906978143183,0.8043827308116439
REACTOME_ECM_PROTEOGLYCANS,1.550497007807467,0.16230386296179075,1.0830446177579,0.7551739337370725
REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION,2.2351170380898284,0.00013406577937465016,1.2411685525002925,0.6514932331097373
REACTOME_FORMATION_OF_FIBRIN_CLOT_CLOTTING_CASCADE,2.423776348841292,0.0,0.6276584050250587,0.9989355308038707
REACTOME_GLYCOSAMINOGLYCAN_METABOLISM,2.0021091350962674,0.0028656560341331475,0.9874966224012476,0.8371219670095672
REACTOME_GPCR_LIGAND_BINDING,1.401542693219707,0.31180994367730563,1.3275764065502107,0.5514924444734322
REACTOME_HEMOSTASIS,1.1824449351801918,0.5943199840525564,0.7791155656358604,0.9842065073198172
REACTOME_IMMUNOREGULATORY_INTERACTIONS_BETWEEN_A_LYMPHOID_AND_A_NON_LYMPHOID_CELL,1.1066395379032294,0.6893985569734076,1.1221384527805034,0.7148391725457371
REACTOME_INTEGRIN_CELL_SURFACE_INTERACTIONS,1.9814193964415265,0.003619776043115555,1.0310416877390853,0.8111969252708221
REACTOME_INTERFERON_GAMMA_SIGNALING,1.1882794142448245,0.5884017315676582,0.8172945958502178,0.9809902936023946
REACTOME_INTERFERON_SIGNALING,1.3689001140424144,0.33863069753884417,0.9608612321106048,0.8140367231431613
REACTOME_INTERLEUKIN_10_SIGNALING,1.235888926094142,0.5421919892324362,1.373025400449428,0.7087391109871082
REACTOME_INTERLEUKIN_2_FAMILY_SIGNALING,1.3720541253356513,0.3349878739954979,1.0485874555165204,0.8003080205639096
REACTOME_INTERLEUKIN_4_AND_INTERLEUKIN_13_SIGNALING,1.446821440888241,0.2610763471097094,1.3119574758973922,0.5240441464284583
REACTOME_METABOLISM_OF_CARBOHYDRATES_AND_CARBOHYDRATE_DERIVATIVES,1.0904149421750553,0.7148725435178248,1.0388326967083024,0.8083905506921675
REACTOME_METABOLISM_OF_VITAMINS_AND_COFACTORS,1.0549730069351861,0.7533934589522477,0.6108960958701604,0.9787850902959377
REACTOME_MYD88_INDEPENDENT_TLR4_CASCADE,0.6208884222763944,0.9956927554688516,0.9638070439669227,0.8408892710744077
REACTOME_NERVOUS_SYSTEM_DEVELOPMENT,1.173043472278882,0.6013407093575078,0.7039578240140845,0.9886609918689466
REACTOME_NEUTROPHIL_DEGRANULATION,1.1794822288224447,0.5994941839266068,1.1750185352614255,0.7081375809365037
REACTOME_NON_INTEGRIN_MEMBRANE_ECM_INTERACTIONS,0.9898498282823808,0.8280582439202365,0.971089043111554,0.8411030643951012
REACTOME_OTHER_INTERLEUKIN_SIGNALING,1.3470600452023336,0.3687407072433936,0.8133956685002139,0.970184505732691
REACTOME_PEPTIDE_HORMONE_METABOLISM,1.2296090435147726,0.545355214899827,1.1643719822899474,0.7204911625723536
REACTOME_PEPTIDE_LIGAND_BINDING_RECEPTORS,1.4212904488536926,0.2869291279304652,1.356000686967153,0.6985873148733367
REACTOME_PLATELET_ACTIVATION_SIGNALING_AND_AGGREGATION,1.0639975249262448,0.7545557227653749,1.1931192449833603,0.6696203938222353
REACTOME_REGULATION_OF_INSULIN_LIKE_GROWTH_FACTOR_IGF_TRANSPORT_AND_UPTAKE_BY_INSULIN_LIKE_GROWTH_FACTOR_BINDING_PROTEINS_IGFBPS,2.326919684964618,0.0,1.651442797312385,0.22262080327367903
REACTOME_RESPONSE_TO_ELEVATED_PLATELET_CYTOSOLIC_CA2,1.2083340584413909,0.5636761609286987,1.345652890162485,0.5901966776055022
REACTOME_SARS_COV_2_INFECTION,0.9675646567092365,0.8403388478489174,1.206172479681464,0.6835213307292705
REACTOME_SARS_COV_INFECTIONS,0.9568388990677306,0.852140862914389,1.02510867035353,0.7877776254744492
REACTOME_SIGNALING_BY_GPCR,0.8800808505121178,0.9268202042738799,1.1943352471992241,0.697284650770242
REACTOME_SIGNALING_BY_INTERLEUKINS,1.2018451800798151,0.5747736998666776,1.1147343495487014,0.7177360424844543
REACTOME_SIGNALING_BY_PDGF,1.6226991773076351,0.10514990759163353,1.1577805754395525,0.7161598044295641
REACTOME_SIGNALING_BY_RECEPTOR_TYROSINE_KINASES,1.0724324155296254,0.7444161460871626,1.0200247830217524,0.7829909648634987
REACTOME_SIGNALING_BY_TGFB_FAMILY_MEMBERS,0.9412990921802522,0.8702318913295983,1.2504138390253083,0.654832961324352
REACTOME_SIGNALING_BY_VEGF,1.0106131606714306,0.7985776015119466,0.9797152363439274,0.8372596519354062
REACTOME_TOLL_LIKE_RECEPTOR_CASCADES,1.463910885156739,0.24081128449151837,1.0591263657458423,0.8108679766697224
REACTOME_TOLL_LIKE_RECEPTOR_TLR1_TLR2_CASCADE,1.0264212869582958,0.7866857125356954,0.9618431842034046,0.8285196367598017
REACTOME_TRANSPORT_TO_THE_GOLGI_AND_SUBSEQUENT_MODIFICATION,1.4643622723403702,0.2426001306552049,1.0874145197023277,0.763336662894238
