Term,NES_ciao,FDR_q_val_ciao,NES_swiss_geriatric_healthy,FDR_q_val_swiss_geriatric_healthy
REACTOME_APOPTOSIS,0.7560450740863254,0.9465575167510831,0.9684048628982174,0.8390786658786237
REACTOME_ASSEMBLY_OF_COLLAGEN_FIBRILS_AND_OTHER_MULTIMERIC_STRUCTURES,2.081789677597249,0.0009193082014261726,0.9816165859585811,0.8227722327698265
REACTOME_BINDING_AND_UPTAKE_OF_LIGANDS_BY_SCAVENGER_RECEPTORS,1.720068027466499,0.04847352266433003,0.8670438841018073,0.8634440401487062
REACTOME_CELL_CELL_COMMUNICATION,1.2329229474805106,0.5434944446903917,1.0715483158062464,0.8475260175303869
REACTOME_CELL_SURFACE_INTERACTIONS_AT_THE_VASCULAR_WALL,0.9061433965329377,0.9074817141073611,0.6778198777917175,0.9389190477451475
REACTOME_CHEMOKINE_RECEPTORS_BIND_CHEMOKINES,1.2677009360528806,0.48625921053262827,1.594756968609393,0.5281360061435797
REACTOME_CLASS_A_1_RHODOPSIN_LIKE_RECEPTORS,1.4604253379678376,0.2418147315043956,1.5903670165466215,0.2736011439769086
REACTOME_COLLAGEN_DEGRADATION,2.1436918848260444,0.00035750874499906714,1.2554083081236622,0.727242463333346
REACTOME_COLLAGEN_FORMATION,2.065313415679279,0.0009652736114974812,0.9583175837538563,0.8298696434853897
REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM,1.2332573777892017,0.5459257844120476,1.2793043380637887,0.7258692370839182
REACTOME_DEATH_RECEPTOR_SIGNALING,0.6325687267241348,0.9969273410753954,1.0620731365438985,0.8313740028755193
REACTOME_DEGRADATION_OF_THE_EXTRACELLULAR_MATRIX,2.164052673480725,0.0003016480035929629,1.216292916899944,0.8629399147313507
REACTOME_DENGUE_VIRUS_ATTACHMENT_AND_ENTRY,1.4393953791325098,0.2669209041355535,0.9505425167067406,0.8162424782427866
REACTOME_DEVELOPMENTAL_CELL_LINEAGES,1.381846984995423,0.32299797895837595,0.7322987948469049,0.918630280807077
REACTOME_DEVELOPMENTAL_CELL_LINEAGES_OF_THE_EXOCRINE_PANCREAS,1.0314493950151917,0.7854352807972674,0.8319427046796818,0.8758650086746457
REACTOME_DEVELOPMENTAL_CELL_LINEAGES_OF_THE_INTEGUMENTARY_SYSTEM,1.6149097446185576,0.10928860550513857,0.987255244123582,0.8442246258362561
REACTOME_DEVELOPMENTAL_LINEAGES_OF_THE_MAMMARY_GLAND,1.2790825664544094,0.46714952691538103,1.0490545658237065,0.8515001456452083
REACTOME_DISEASES_OF_GLYCOSYLATION,2.2429325810128105,0.00016087893524958021,1.4158875178864059,0.34139236819108654
REACTOME_DISEASES_OF_METABOLISM,1.553845570684883,0.160156145830343,1.1517378060497734,0.8832228069047177
REACTOME_ECM_PROTEOGLYCANS,1.550497007807467,0.16230386296179075,1.1635357650122216,0.8724253899319439
REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION,2.2351170380898284,0.00013406577937465016,1.0111075541276542,0.8803000087590825
REACTOME_FORMATION_OF_FIBRIN_CLOT_CLOTTING_CASCADE,2.423776348841292,0.0,0.8291040869896007,0.8662750008511733
REACTOME_GLYCOSAMINOGLYCAN_METABOLISM,2.0021091350962674,0.0028656560341331475,1.2140418136324014,0.820267192754813
REACTOME_GPCR_LIGAND_BINDING,1.401542693219707,0.31180994367730563,1.5524935277502703,0.21068241400312476
REACTOME_HEMOSTASIS,1.1824449351801918,0.5943199840525564,0.842938718161109,0.8737826904034351
REACTOME_IMMUNOREGULATORY_INTERACTIONS_BETWEEN_A_LYMPHOID_AND_A_NON_LYMPHOID_CELL,1.1066395379032294,0.6893985569734076,1.1019943719568077,0.8770136553416483
REACTOME_INTEGRIN_CELL_SURFACE_INTERACTIONS,1.9814193964415265,0.003619776043115555,0.9454988576045334,0.8117652810341421
REACTOME_INTERFERON_GAMMA_SIGNALING,1.1882794142448245,0.5884017315676582,0.9052751939296486,0.8362096685720339
REACTOME_INTERFERON_SIGNALING,1.3689001140424144,0.33863069753884417,0.9143644657170332,0.8326071936696092
REACTOME_INTERLEUKIN_10_SIGNALING,1.235888926094142,0.5421919892324362,1.5203725894135756,0.19384053173741492
REACTOME_INTERLEUKIN_2_FAMILY_SIGNALING,1.3720541253356513,0.3349878739954979,0.8127498730403354,0.8768404258136271
REACTOME_INTERLEUKIN_4_AND_INTERLEUKIN_13_SIGNALING,1.446821440888241,0.2610763471097094,1.1890073951331175,0.8389163996504515
REACTOME_METABOLISM_OF_CARBOHYDRATES_AND_CARBOHYDRATE_DERIVATIVES,1.0904149421750553,0.7148725435178248,0.9828915977801085,0.8373275428329316
REACTOME_METABOLISM_OF_VITAMINS_AND_COFACTORS,1.0549730069351861,0.7533934589522477,0.8884295596940691,0.853901828160954
REACTOME_MYD88_INDEPENDENT_TLR4_CASCADE,0.6208884222763944,0.9956927554688516,0.9605018965943268,0.8417962026322062
REACTOME_NERVOUS_SYSTEM_DEVELOPMENT,1.173043472278882,0.6013407093575078,0.8663444160148361,0.850117840213966
REACTOME_NEUTROPHIL_DEGRANULATION,1.1794822288224447,0.5994941839266068,1.1461022924075455,0.8289273259194359
