Term,NES_ciao,FDR_q_val_ciao,NES_necs_cent_off,FDR_q_val_necs_cent_off
REACTOME_ABC_FAMILY_PROTEINS_MEDIATED_TRANSPORT,-1.513766210559276,0.1701501836473937,0.47312178268151583,1.0
REACTOME_ABC_TRANSPORTER_DISORDERS,-1.742973158794446,0.07602427825095473,0.47312178268151583,1.0
REACTOME_ACTIVATED_NOTCH1_TRANSMITS_SIGNAL_TO_THE_NUCLEUS,-0.8402829975250294,0.8572326571731224,1.0950936429043674,0.9334485636794658
REACTOME_ACTIVATED_TAK1_MEDIATES_P38_MAPK_ACTIVATION,-0.7554271780209149,0.940769574963871,1.0449970776782174,0.9701881209818363
REACTOME_ACTIVATION_OF_APC_C_AND_APC_C_CDC20_MEDIATED_DEGRADATION_OF_MITOTIC_PROTEINS,-1.841835644189656,0.0400965317369126,0.7923023468633124,0.9777401148622024
REACTOME_ACTIVATION_OF_BAD_AND_TRANSLOCATION_TO_MITOCHONDRIA,1.054088019757618,0.7527163564248581,1.3300932206883722,0.7697577240779474
REACTOME_ACTIVATION_OF_BH3_ONLY_PROTEINS,1.1179900508615943,0.668579368784036,1.358119864896294,0.7084959099534791
REACTOME_ACTIVATION_OF_MATRIX_METALLOPROTEINASES,1.878999497705832,0.011973105373382219,1.3207470512629342,0.7734220787655778
REACTOME_ACTIVATION_OF_NF_KAPPAB_IN_B_CELLS,-1.7239625301760317,0.07513357438643606,0.9822032285359901,1.0
REACTOME_ACTIVATION_OF_NMDA_RECEPTORS_AND_POSTSYNAPTIC_EVENTS,1.49633762376306,0.22057723888048458,0.8901600495550365,0.9872019331127834
REACTOME_ACTIVATION_OF_THE_MRNA_UPON_BINDING_OF_THE_CAP_BINDING_COMPLEX_AND_EIFS_AND_SUBSEQUENT_BINDING_TO_43S,0.8724723178675683,0.9269651944814187,-0.976161163476996,1.0
REACTOME_ADAPTIVE_IMMUNE_SYSTEM,-0.9490408648582473,0.7471249057736077,1.1313572141080568,0.8614318650562843
REACTOME_ADHERENS_JUNCTIONS_INTERACTIONS,1.2459146477674838,0.526364311282242,1.0685928306890216,0.9532579698620608
REACTOME_ADIPOGENESIS,1.0781562368434816,0.7354161139676002,-0.8533015830255885,1.0
REACTOME_ADVANCED_GLYCOSYLATION_ENDPRODUCT_RECEPTOR_SIGNALING,0.7607168870931653,0.9489569985224092,1.6618875402133533,0.33028744360498985
REACTOME_AEROBIC_RESPIRATION_AND_RESPIRATORY_ELECTRON_TRANSPORT,-1.6949495646874528,0.08626136510561892,0.6887383652950629,0.9985113137876717
REACTOME_AGGREPHAGY,1.431799594979663,0.2757480878785255,0.9335921353428991,1.0
REACTOME_AMPK_INDUCED_ERAD_AND_LYSOSOME_MEDIATED_DEGRADATION_OF_PD_L1_CD274,-1.9804871514814086,0.016579755241699575,0.806126370909472,0.9829174481693589
REACTOME_AMYLOID_FIBER_FORMATION,1.9175351212906142,0.009049440107788888,1.5351875586976167,0.515072220208656
REACTOME_ANCHORING_OF_THE_BASAL_BODY_TO_THE_PLASMA_MEMBRANE,0.559089022884554,0.9901367196724163,0.4014475525593973,1.0
REACTOME_ANTIGEN_ACTIVATES_B_CELL_RECEPTOR_BCR_LEADING_TO_GENERATION_OF_SECOND_MESSENGERS,0.7997278949936358,0.9441721378548349,0.7117670476856087,0.9920882920787027
REACTOME_ANTIGEN_PROCESSING_CROSS_PRESENTATION,-0.9485963648923562,0.7455037822609051,1.143513765348801,0.8487049328024242
REACTOME_ANTIGEN_PROCESSING_UBIQUITINATION_PROTEASOME_DEGRADATION,-1.160178011182147,0.5095737574824805,-0.719491387704793,1.0
REACTOME_ANTIMICROBIAL_MECHANISM_OF_IFN_STIMULATED_GENES,1.3958002668155007,0.3152077995639989,1.18101109824247,0.8615508770329193
REACTOME_ANTIMICROBIAL_PEPTIDES,2.2167928009781552,0.00011491352517827157,1.6554332037427966,0.31819230875500387
REACTOME_ANTI_INFLAMMATORY_RESPONSE_FAVOURING_LEISHMANIA_PARASITE_INFECTION,0.7772042313556076,0.9454193281214216,0.9644461532218177,1.0
REACTOME_APC_C_CDH1_MEDIATED_DEGRADATION_OF_CDC20_AND_OTHER_APC_C_CDH1_TARGETED_PROTEINS_IN_LATE_MITOSIS_EARLY_G1,-1.9440658818861838,0.020162618286140854,0.6469708978561465,1.0
REACTOME_APC_C_MEDIATED_DEGRADATION_OF_CELL_CYCLE_PROTEINS,-1.8860940900304766,0.028928874625838888,0.5563078741457929,1.0
REACTOME_APOPTOSIS,0.7560450740863254,0.9465575167510831,1.2689992143457465,0.7503109079343231
REACTOME_APOPTOTIC_CLEAVAGE_OF_CELLULAR_PROTEINS,1.5725011495738235,0.14765669775875534,0.7802039166994008,0.9740806676750786
REACTOME_APOPTOTIC_EXECUTION_PHASE,1.617399809590724,0.10859328129346664,1.1885579757589841,0.8548842564162455
REACTOME_ARACHIDONATE_METABOLISM,0.8676879168310611,0.9262407655071003,0.9458145176853502,1.0
REACTOME_ASPARAGINE_N_LINKED_GLYCOSYLATION,1.2073711888373668,0.5629949300916629,1.0788151276780835,0.9481158997286326
REACTOME_ASSEMBLY_OF_COLLAGEN_FIBRILS_AND_OTHER_MULTIMERIC_STRUCTURES,2.081789677597249,0.0009193082014261726,1.5692106867130289,0.5557985250169669
REACTOME_ASYMMETRIC_LOCALIZATION_OF_PCP_PROTEINS,-1.9179641409150276,0.023547449849603698,0.9237851712871847,1.0
REACTOME_ATTACHMENT_AND_ENTRY,1.6132888075662395,0.10906251152127791,1.033660580249097,0.9749802805569928
REACTOME_ATTENUATION_PHASE,-1.2260228791050138,0.42796453945496404,1.3134779460080028,0.7457342645219207
REACTOME_AUF1_HNRNP_D0_BINDS_AND_DESTABILIZES_MRNA,-2.001143538409886,0.01702348106010311,1.1023223694278703,0.9194036754591371
REACTOME_AURKA_ACTIVATION_BY_TPX2,0.6591142949542396,0.9974204113518568,0.4429676874988355,1.0
REACTOME_AUTOPHAGY,0.7839528988011297,0.9441412429008293,1.1434700604585357,0.8449032309566897
REACTOME_AZATHIOPRINE_ADME,0.8322055437353465,0.9453763502686572,1.1352695110123565,0.8583821500373273
REACTOME_BACTERIAL_INFECTION_PATHWAYS,0.9379127805030552,0.8729166072129406,1.3183361026142133,0.7527115009398084
REACTOME_BASE_EXCISION_REPAIR,1.3023004708810084,0.43545509266093235,1.4854746820735625,0.610899230818877
REACTOME_BASIGIN_INTERACTIONS,0.9887340385277836,0.8250008717841238,0.6630296400141763,1.0
REACTOME_BETA_CATENIN_INDEPENDENT_WNT_SIGNALING,-1.8740715920195357,0.03102554907456876,1.216737067450173,0.8191741970424985
REACTOME_BINDING_AND_UPTAKE_OF_LIGANDS_BY_SCAVENGER_RECEPTORS,1.720068027466499,0.04847352266433003,1.1056314150409758,0.9150981073156494
REACTOME_BIOLOGICAL_OXIDATIONS,-2.1483642876710065,0.01198779265070734,-1.2119580029193728,0.897802254896867
REACTOME_BIOSYNTHESIS_OF_THE_N_GLYCAN_PRECURSOR_DOLICHOL_LIPID_LINKED_OLIGOSACCHARIDE_LLO_AND_TRANSFER_TO_A_NASCENT_PROTEIN,-1.542783655463443,0.15880735624906114,0.8945965098209719,0.9900531514663153
REACTOME_CA2_PATHWAY,-1.559816788744142,0.15254652293873702,0.6605528278174159,1.0
