Term,NES_ciao,FDR_q_val_ciao,NES_swiss_cent_geriatric,FDR_q_val_swiss_cent_geriatric
HALLMARK_ADIPOGENESIS,-1.42566000245993,0.1475978009720341,-1.5749091367729438,0.15802075019952116
HALLMARK_ALLOGRAFT_REJECTION,1.3737213615264456,0.1769469247863717,-1.1018481242256986,0.5531245720330379
HALLMARK_APICAL_JUNCTION,1.4893179011812105,0.08116945470507982,1.0698696932014597,1.0
HALLMARK_APOPTOSIS,1.180519909910451,0.37926966446267385,-1.63596896502186,0.2647185217017619
HALLMARK_CHOLESTEROL_HOMEOSTASIS,-1.2616253603045566,0.22653857973752803,-1.148473958473007,0.5479771625023022
HALLMARK_COAGULATION,2.1890542071642707,0.0,-0.8869247042412368,0.6990054638099331
HALLMARK_COMPLEMENT,1.1815113745894863,0.3965280976591662,-1.1858460838965645,0.5117441217999877
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,2.2248853392357315,0.0,0.8078290054433733,1.0
HALLMARK_ESTROGEN_RESPONSE_LATE,1.4017489621518426,0.1562182775933496,-1.1203286056970378,0.5584750445085641
HALLMARK_GLYCOLYSIS,-1.1566257473378296,0.3056684283678149,-1.4776919244770335,0.1936767143471054
HALLMARK_HYPOXIA,1.093176817620025,0.4801366292628056,-1.612361409786484,0.17287740192768128
HALLMARK_IL2_STAT5_SIGNALING,1.0120581611902435,0.5732785144017276,-0.8110282479610316,0.7481736140954018
HALLMARK_IL6_JAK_STAT3_SIGNALING,1.6162226083216078,0.0333342478531647,-1.0300729182872648,0.5485838512456981
HALLMARK_INFLAMMATORY_RESPONSE,1.3227998106656025,0.21577546709100384,-1.0690131118715571,0.5079961937503836
HALLMARK_INTERFERON_ALPHA_RESPONSE,1.281385312944176,0.2496510030937668,-1.4451929123708143,0.20056479833016147
HALLMARK_INTERFERON_GAMMA_RESPONSE,1.041006647339063,0.5755812230788225,-0.9913688956085419,0.5543166037138398
HALLMARK_KRAS_SIGNALING_DN,1.5328946241387904,0.06935718401053527,-1.080567864768038,0.5196226492315877
HALLMARK_KRAS_SIGNALING_UP,1.6513685173699277,0.02897198825756537,-1.3286197867634826,0.2794251062407487
HALLMARK_MTORC1_SIGNALING,-1.3689333271574236,0.16820970440602342,-1.5372752964699568,0.16105961078028116
HALLMARK_MYOGENESIS,1.515053197805549,0.07111306208675135,0.7991429595253803,0.7735047640913787
HALLMARK_P53_PATHWAY,0.9627836171835207,0.6552414758079547,-1.4317964389719249,0.18754111012690422
HALLMARK_TNFA_SIGNALING_VIA_NFKB,1.3242047119041649,0.2285071508918528,-1.329997261061325,0.3106390815888022
HALLMARK_UV_RESPONSE_DN,-0.9907596400585336,0.6066528563461079,-0.8847175979455179,0.6690638438443706
HALLMARK_UV_RESPONSE_UP,0.9577279541257321,0.6445279705890422,-1.027396005288786,0.5218586503502705
HALLMARK_XENOBIOTIC_METABOLISM,1.2894267292036208,0.2509328102279898,-1.0847998023299636,0.5492137551195811
