Term,NES_ciao,FDR_q_val_ciao,NES_swiss_cent_healthy,FDR_q_val_swiss_cent_healthy
GOBP_ACTIN_FILAMENT_BASED_PROCESS,0.7829597283550206,0.9563062108121345,1.1074660496108455,0.5948567346632608
GOBP_ACTIN_FILAMENT_ORGANIZATION,0.8332268808235492,0.9267008103103231,0.7650785117024828,0.9303042811115523
GOBP_ACTIN_FILAMENT_POLYMERIZATION,0.9077235058804867,0.8898094201424528,0.6568321024292899,0.9606355176569443
GOBP_ACTIN_POLYMERIZATION_OR_DEPOLYMERIZATION,0.9720884557398952,0.8494889978730011,0.7632347032817357,0.9289272379496761
GOBP_ACTIVATED_T_CELL_PROLIFERATION,0.8355594048049698,0.9263458656914537,1.3970619556939425,0.3863919145438687
GOBP_ACTIVATION_OF_IMMUNE_RESPONSE,1.2190714023882403,0.5865126559738127,1.1277976528329539,0.5735864216557266
GOBP_ACTIVATION_OF_INNATE_IMMUNE_RESPONSE,0.7433679082000492,0.9651887011873446,0.8873284277716589,0.860559093866225
GOBP_ACUTE_INFLAMMATORY_RESPONSE,1.9258628600965342,0.02322090759786887,1.0340213613728328,0.6921788875934908
GOBP_ACUTE_PHASE_RESPONSE,1.937502170162557,0.022623741194437146,1.309080092091107,0.44083934362410976
GOBP_ADAPTIVE_IMMUNE_RESPONSE,1.21405356270413,0.5957970114873118,1.2550170873338693,0.4613873262230594
GOBP_ADAPTIVE_IMMUNE_RESPONSE_BASED_ON_SOMATIC_RECOMBINATION_OF_IMMUNE_RECEPTORS_BUILT_FROM_IMMUNOGLOBULIN_SUPERFAMILY_DOMAINS,1.1566119076903543,0.6707495122269178,1.2389898820120033,0.48154831515421154
GOBP_ADULT_BEHAVIOR,1.0402647770709288,0.7890728974124912,0.7432852413023137,0.9393590563720691
GOBP_ALPHA_BETA_T_CELL_ACTIVATION,0.7051886789392975,0.9776823369826421,1.0801099627627082,0.6431752511558536
GOBP_AMEBOIDAL_TYPE_CELL_MIGRATION,0.9033999267385824,0.8933705645962261,1.0816828154852576,0.6396682667074497
GOBP_AMIDE_TRANSPORT,1.276053155286252,0.5193677742224878,0.8650876218491637,0.8723291445393473
GOBP_AMINOGLYCAN_METABOLIC_PROCESS,1.7129791013529094,0.13497229208283198,1.5147135051140452,0.34248056141619254
GOBP_ANATOMICAL_STRUCTURE_FORMATION_INVOLVED_IN_MORPHOGENESIS,1.3907030471351276,0.3994689262134431,1.2367556208133654,0.4795989082480031
GOBP_ANATOMICAL_STRUCTURE_MATURATION,1.3339418615853542,0.44705130225447287,0.8380090764734994,0.8944051254647414
GOBP_ANIMAL_ORGAN_MORPHOGENESIS,1.6185904453524755,0.22348710699259194,1.1647354967090764,0.5433052875409926
GOBP_ANIMAL_ORGAN_REGENERATION,1.2452826629573195,0.5533772064265844,1.1254994209514926,0.575242476099973
GOBP_ANTIGEN_PROCESSING_AND_PRESENTATION,0.7402230208553142,0.9665066708602901,0.8157832262892902,0.9049842465868132
GOBP_ANTIGEN_RECEPTOR_MEDIATED_SIGNALING_PATHWAY,0.7570168865381018,0.9646452236961746,1.2427783571790574,0.4768669556240681
GOBP_ANTIMICROBIAL_HUMORAL_IMMUNE_RESPONSE_MEDIATED_BY_ANTIMICROBIAL_PEPTIDE,1.9749661013370325,0.015697572737267733,1.6516057057135076,0.19203096270085956
GOBP_ANTIMICROBIAL_HUMORAL_RESPONSE,2.104907723377031,0.0029133468328018256,1.6615774556898248,0.2244761054010935
GOBP_APOPTOTIC_CELL_CLEARANCE,1.4783487922627725,0.3374882304735167,0.8735207202323491,0.8704654032842822
GOBP_ARTERY_DEVELOPMENT,1.484985282044302,0.3295269655135195,0.7262617604653584,0.9439639828091728
GOBP_ARTERY_MORPHOGENESIS,1.8854129875471337,0.03743465621821584,0.9272566289389884,0.8118177083841341
GOBP_ASTROCYTE_DEVELOPMENT,1.2133547715330801,0.5942612338496704,1.2888958037769924,0.44633392451854687
GOBP_ASTROCYTE_DIFFERENTIATION,1.2254561659800645,0.5776846862155202,1.3001334789838852,0.43675976872594197
GOBP_AXON_DEVELOPMENT,1.1060600820124165,0.7225828482056729,0.6166062995138183,0.973840361647831
GOBP_AXON_EXTENSION,1.0293179447686402,0.7970635440704134,0.5190010123789617,0.9894171086362369
GOBP_BEHAVIOR,1.1202739287916088,0.7105063052956743,1.2182586338347041,0.49957680569529633
GOBP_BIOLOGICAL_PROCESS_INVOLVED_IN_INTERACTION_WITH_HOST,1.2654349772391473,0.5271430059835174,1.2607104297779,0.45463269907882264
GOBP_BIOLOGICAL_PROCESS_INVOLVED_IN_SYMBIOTIC_INTERACTION,1.3804644063514335,0.4136960790905287,1.1942000348630304,0.5206770671059037
GOBP_BIOMINERAL_TISSUE_DEVELOPMENT,1.3483517942948418,0.4329143029629051,1.3824602937047048,0.37971583345209087
GOBP_BLOOD_VESSEL_ENDOTHELIAL_CELL_MIGRATION,0.9516129683773986,0.8606877440058138,1.0273530680197696,0.7003724417080645
GOBP_BLOOD_VESSEL_MORPHOGENESIS,1.5677259926677976,0.26336986901596254,1.1604538172484031,0.5396212165976609
GOBP_BONE_DEVELOPMENT,1.6562095632566578,0.18616384134397604,0.6735340651188133,0.9580782256726263
GOBP_BONE_REMODELING,1.3600192914857796,0.4245381040859759,1.549516009482057,0.3395669462393248
GOBP_BONE_RESORPTION,1.1935419339923243,0.6195586693874607,1.3799296460357715,0.37522900031869777
GOBP_BRANCHING_MORPHOGENESIS_OF_AN_EPITHELIAL_TUBE,1.46110561943287,0.3475611435552684,0.9013488328951698,0.8440261798383225
GOBP_B_CELL_ACTIVATION,0.90118040534663,0.8959830886081819,0.9417498594360181,0.7987939964718488
GOBP_B_CELL_ACTIVATION_INVOLVED_IN_IMMUNE_RESPONSE,1.017376458671174,0.8147117092862731,1.1876359289771645,0.5196753083317505
GOBP_B_CELL_DIFFERENTIATION,1.0312066019411992,0.7984312819759868,0.8456708769204229,0.8906055693349199
GOBP_B_CELL_MEDIATED_IMMUNITY,1.4122800876310937,0.3995089024718172,0.9526774817641737,0.7955612641316229
GOBP_B_CELL_PROLIFERATION,0.6002446321809206,0.9892001889106061,0.8854797839209646,0.8593197803009359
GOBP_CALCIUM_ION_HOMEOSTASIS,1.0882188354387459,0.7350764813657803,1.1833932549039947,0.5196376224285462
GOBP_CALCIUM_ION_TRANSMEMBRANE_IMPORT_INTO_CYTOSOL,0.9533917381514896,0.8635957301043999,1.4233669601526415,0.38967786182987124
GOBP_CALCIUM_ION_TRANSMEMBRANE_TRANSPORT,0.9629013713501802,0.8557838206031979,1.396994202514416,0.3827306822013132
GOBP_CALCIUM_ION_TRANSPORT,0.8171227147886629,0.9324333071510434,1.1129777592232515,0.5886602868007638
GOBP_CANONICAL_WNT_SIGNALING_PATHWAY,1.292896565399378,0.49794296494030726,1.0600482029312999,0.6632837643902891
GOBP_CARBOHYDRATE_DERIVATIVE_CATABOLIC_PROCESS,1.0932758268102185,0.730526525690118,1.3982730535545267,0.39040663378774637
