Term,NES_ciao,FDR_q_val_ciao,NES_necs_cent_off,FDR_q_val_necs_cent_off
GOBP_ACETYL_COA_METABOLIC_PROCESS,-1.0193682271737965,0.7950632495230363,-1.419519598720649,0.788883532455412
GOBP_ACYL_COA_METABOLIC_PROCESS,-0.9261399123810884,0.8995190792836566,-1.1247299821557784,1.0
GOBP_ADENYLATE_CYCLASE_INHIBITING_G_PROTEIN_COUPLED_RECEPTOR_SIGNALING_PATHWAY,-0.5454166781968783,0.9931450538828487,-1.4085195415487402,0.7939690752698995
GOBP_ALCOHOL_CATABOLIC_PROCESS,-1.5594166615988756,0.4596624914432201,-1.0920217794876756,1.0
GOBP_ALPHA_AMINO_ACID_BIOSYNTHETIC_PROCESS,-1.6497976680827124,0.38998918311738,-1.0995984112229673,1.0
GOBP_AMINO_ACID_BIOSYNTHETIC_PROCESS,-1.7574204217756464,0.3259208424932495,-1.3149137620659166,0.7893533233836413
GOBP_AMINO_ACID_CATABOLIC_PROCESS,-1.6630495895784396,0.39179142703649356,-0.8719867399331069,0.9949065320420564
GOBP_AMINO_ACID_METABOLIC_PROCESS,-1.4917825363797512,0.4883592718929204,-0.8958607334985217,1.0
GOBP_ANOIKIS,-1.1493312793425192,0.6956055688059267,-0.7964175852503891,1.0
GOBP_ANTEROGRADE_AXONAL_TRANSPORT,-1.4801300103133803,0.48638525008597144,-0.971559804887041,0.9916096843200388
GOBP_ASSOCIATIVE_LEARNING,-0.7144931727404151,0.9688816406994986,-1.5041798587027613,0.8114653143292412
GOBP_AXONAL_TRANSPORT,-1.6379517788190354,0.39933334017751276,-1.2177938998026256,0.9010580100910246
GOBP_AXO_DENDRITIC_TRANSPORT,-1.425061010064056,0.5163993543779908,-1.1240188278040297,1.0
GOBP_BILE_ACID_METABOLIC_PROCESS,-1.3519051482218518,0.5502606087382423,-0.9535381573899405,0.9920876369939111
GOBP_CALCINEURIN_MEDIATED_SIGNALING,-0.9597158799133084,0.8636761148768105,-1.6074762082219927,0.7989924131988185
GOBP_CALCIUM_ION_REGULATED_EXOCYTOSIS,-1.0889363178237899,0.7626084496295068,-1.4227244629156037,0.8176131090337099
GOBP_CALCIUM_MEDIATED_SIGNALING,-1.2062479985606318,0.6525627827065633,-1.2164354873472667,0.8773874087297053
GOBP_CARBOXYLIC_ACID_TRANSMEMBRANE_TRANSPORT,-0.7333974303921648,0.9649878928073806,-0.768353082012627,0.9954023003657341
GOBP_CELLULAR_COMPONENT_ASSEMBLY_INVOLVED_IN_MORPHOGENESIS,-0.7958922834111055,0.9621612064533814,-0.8757079036500907,0.9956814495177844
GOBP_CELLULAR_PIGMENTATION,-0.920706267174925,0.8940657717272757,-1.0376016660137413,0.9871021539460977
GOBP_CELLULAR_RESPONSE_TO_FATTY_ACID,-1.2319206745292948,0.6386472369664173,-0.9982750406514288,1.0
GOBP_CELLULAR_RESPONSE_TO_RETINOIC_ACID,-0.7176133692305713,0.9702350879195598,-0.9921362697865796,0.9893864280790367
GOBP_CELLULAR_RESPONSE_TO_UNFOLDED_PROTEIN,-1.251492844567405,0.6265622235540765,-0.7732163794020545,0.9988348801362533
GOBP_CELL_CYCLE_G2_M_PHASE_TRANSITION,-0.6193158153369362,0.9806507530002176,-1.0346679674947337,0.9857734437786642
GOBP_CENTROSOME_DUPLICATION,-1.0398801628555676,0.7912124820755311,-0.7243004862630851,1.0
GOBP_CHEMICAL_SYNAPTIC_TRANSMISSION_POSTSYNAPTIC,-0.7409986532997984,0.963196283712904,-0.9343335921251333,0.9813163383143059
GOBP_CYTOKINESIS,-0.6596450005135536,0.9704507606421192,-0.6834958333985196,0.9979401762381422
GOBP_CYTOSKELETON_DEPENDENT_CYTOKINESIS,-0.6652754017239373,0.9706179805897567,-0.5970602310490261,0.9968538165432633
GOBP_CYTOSKELETON_DEPENDENT_INTRACELLULAR_TRANSPORT,-1.1486674796355816,0.6957016060214444,-0.5943458925842523,0.9933768122146072
GOBP_CYTOSOLIC_TRANSPORT,-1.325336670447583,0.5643908955025796,-1.438159602558389,0.8214425085035765
GOBP_DICARBOXYLIC_ACID_METABOLIC_PROCESS,-1.4694789675788011,0.4872136770790918,-0.8693231056891565,0.9946077060587554
GOBP_DITERPENOID_METABOLIC_PROCESS,-1.618785530098937,0.3813921188731614,-1.123896756215869,1.0
GOBP_ELECTRON_TRANSPORT_CHAIN,-1.3680980359192172,0.5406336604815941,-0.7778857604477141,1.0
GOBP_EMBRYONIC_DIGIT_MORPHOGENESIS,-0.6656392833179882,0.9712143655622005,-1.2176099020328175,0.8918897370226262
GOBP_ENDOCARDIAL_CUSHION_DEVELOPMENT,-0.8302220352445653,0.9482019459990265,-0.609870932526171,1.0
GOBP_ENDOCYTIC_RECYCLING,-1.0535372535204666,0.776729723258767,-1.0472755976864205,0.9867899635955247
GOBP_ENDOSOMAL_TRANSPORT,-1.505814019594724,0.4919440040066979,-1.220318765374688,0.9126723474703475
GOBP_ENDOSOME_ORGANIZATION,-0.9535860842783838,0.8679713934424541,-1.5965617478705978,0.7981098080299991
GOBP_ER_NUCLEUS_SIGNALING_PATHWAY,-1.038986054465566,0.7851363523216077,-1.096830256255208,0.9947691638737051
GOBP_ESTABLISHMENT_OF_PROTEIN_LOCALIZATION_TO_MEMBRANE,-0.651439535556845,0.9701661784149938,-1.2814529285076515,0.8196865606986179
GOBP_ESTABLISHMENT_OF_PROTEIN_LOCALIZATION_TO_PLASMA_MEMBRANE,-0.6751513508903604,0.9707027058825888,-0.6441536439520356,0.9979768169600224
GOBP_ESTABLISHMENT_OF_PROTEIN_LOCALIZATION_TO_VACUOLE,-0.7108259617665347,0.9681236192332293,-1.384620818448467,0.7967449464380176
GOBP_EXOCYTIC_PROCESS,-1.0075266795563904,0.8011572781635514,-0.8496375643400065,1.0
GOBP_FATTY_ACID_CATABOLIC_PROCESS,-1.971035083386236,0.21985074084911965,-1.002302306220883,1.0
GOBP_FATTY_ACID_DERIVATIVE_METABOLIC_PROCESS,-0.9897259037688079,0.8230616496346669,-1.1430981199680466,0.9898944805788612
GOBP_FOLIC_ACID_CONTAINING_COMPOUND_METABOLIC_PROCESS,-0.9975765334537621,0.8137367771477048,-0.8736813159339802,0.9940733586790255
GOBP_GLUCAN_BIOSYNTHETIC_PROCESS,-1.4915000947353885,0.48496538753231455,-0.8820635999539865,0.9934613674455482
GOBP_GLUTAMINE_FAMILY_AMINO_ACID_METABOLIC_PROCESS,-1.3926762283623642,0.5451953082467458,-1.1683019384878295,0.9439743963024434
GOBP_GLYCEROLIPID_BIOSYNTHETIC_PROCESS,-0.74345899904562,0.9639749283840369,-0.8056565430715675,1.0
GOBP_GLYCOLIPID_BIOSYNTHETIC_PROCESS,-1.7277283107027315,0.32633000869935885,-0.7399339418772616,1.0
GOBP_GLYCOSPHINGOLIPID_METABOLIC_PROCESS,-1.4685199551454,0.4860237971766052,-0.8212782767669844,1.0
GOBP_GOLGI_TO_PLASMA_MEMBRANE_PROTEIN_TRANSPORT,-1.1061591569197653,0.735941713227511,-0.8924395073235644,1.0
GOBP_IMPORT_ACROSS_PLASMA_MEMBRANE,-0.8142601667134152,0.9532155217329922,-0.9222206717480557,1.0
GOBP_INORGANIC_ION_IMPORT_ACROSS_PLASMA_MEMBRANE,-0.9727041972022592,0.8487281440431972,-0.6847570375685251,0.9992862763436043
GOBP_INTESTINAL_ABSORPTION,-1.0044738587158062,0.8045618313559219,-1.0757181946065335,1.0
GOBP_INTRACELLULAR_LIPID_TRANSPORT,-1.0995470881943994,0.7424588466182319,-0.6030412860416124,1.0
GOBP_INTRACELLULAR_PROTEIN_TRANSPORT,-1.1798171963556583,0.6600569440320904,-0.8134418435076838,1.0
GOBP_INTRACELLULAR_STEROL_TRANSPORT,-1.018878746494011,0.7950520251206601,-0.6695599829717965,0.9977466656151316
GOBP_ISOPRENOID_METABOLIC_PROCESS,-1.6527534978406722,0.38897338926733815,-1.2673963163551136,0.8604048319986092
GOBP_LAMELLIPODIUM_ASSEMBLY,-0.9166104581589585,0.9000342867889647,-0.8110507211222368,0.9991213693291539
GOBP_LAMELLIPODIUM_ORGANIZATION,-0.8890439969541563,0.92290724782284,-0.8687324306769303,0.9927149233166548
GOBP_LIPID_DIGESTION,-0.8785020435272197,0.9246853418089357,-1.9143403960905503,0.505760929983599
GOBP_LIPOSACCHARIDE_METABOLIC_PROCESS,-1.5437482634204513,0.47520163991000997,-1.03627738200122,0.9860163380079288
GOBP_LONG_CHAIN_FATTY_ACID_METABOLIC_PROCESS,-1.0835052314257911,0.7673358430420298,-0.8416231509394286,1.0
GOBP_L_AMINO_ACID_CATABOLIC_PROCESS,-1.6334266019404704,0.3858015456015366,-0.8833633526133655,0.9970787677027282
GOBP_L_AMINO_ACID_METABOLIC_PROCESS,-1.5820768571463484,0.4274408181802576,-0.9547458896734305,0.996997606025522
GOBP_MEIOTIC_CELL_CYCLE,-1.0122182259345083,0.8022475666303984,-0.9935988765361589,0.9995553837326535
GOBP_MEIOTIC_CELL_CYCLE_PROCESS,-0.9749489988611313,0.8501218119794471,-1.3304259468311523,0.8345208327466827
GOBP_MEMBRANE_FUSION,-1.078408039921288,0.7666645129320196,-0.9397572091173559,0.9810294346208575
GOBP_MEMBRANE_LIPID_BIOSYNTHETIC_PROCESS,-1.4447068522023465,0.5032144867078912,-0.7934598389912445,1.0
GOBP_MEMBRANE_LIPID_METABOLIC_PROCESS,-1.1581520983430624,0.69017728609764,-0.9036064976916993,1.0
GOBP_MICROTUBULE_BASED_TRANSPORT,-1.3016238810215277,0.5847962362113011,-0.7103575745812584,1.0
GOBP_MICROTUBULE_ORGANIZING_CENTER_ORGANIZATION,-0.9310325349572172,0.8950730383037258,-0.6874201121255549,1.0
GOBP_MITOCHONDRIAL_GENE_EXPRESSION,-1.1939778171434405,0.654036048566506,-1.0553906415512708,0.993179305535516
GOBP_MITOCHONDRIAL_RESPIRATORY_CHAIN_COMPLEX_ASSEMBLY,-0.7408606514131338,0.9624411398569575,-1.0587256525263409,1.0
GOBP_MITOCHONDRIAL_TRANSLATION,-1.2967457112502931,0.5768378601966762,-0.9464041678947142,0.9980580487876195
GOBP_MITOTIC_CELL_CYCLE_CHECKPOINT_SIGNALING,-0.7762081091436922,0.9593918720675795,-0.5895566840439589,0.9930803542066592
GOBP_MODIFICATION_DEPENDENT_MACROMOLECULE_CATABOLIC_PROCESS,-1.3846244160311707,0.5477530134853521,-0.750027569738078,0.9981675486846256
GOBP_MODIFIED_AMINO_ACID_BIOSYNTHETIC_PROCESS,-1.432293166108654,0.5214432482522495,-0.9412220361785077,0.9847364689261277
GOBP_MODULATION_OF_EXCITATORY_POSTSYNAPTIC_POTENTIAL,-0.725973619647485,0.9700927343551632,-0.9058087393118976,1.0
GOBP_MONOATOMIC_ANION_TRANSPORT,-0.9115661178185475,0.9023089602548306,-1.324972245696534,0.8007324841304821
GOBP_MONOSACCHARIDE_CATABOLIC_PROCESS,-1.1922154157030538,0.6569503963300349,-1.260475977367438,0.864445183358464
GOBP_NEGATIVE_REGULATION_OF_CALCIUM_ION_TRANSMEMBRANE_TRANSPORT,-0.9513993894407262,0.8663810520370716,-0.600902639937738,0.9997125242623122
GOBP_NEGATIVE_REGULATION_OF_CARBOHYDRATE_METABOLIC_PROCESS,-1.120194824553946,0.7180699516411477,-1.1588671831238013,0.9544772413211164
GOBP_NEGATIVE_REGULATION_OF_CELLULAR_RESPONSE_TO_INSULIN_STIMULUS,-1.2027882230959908,0.6486686772187111,-1.1007007591909892,1.0
GOBP_NEGATIVE_REGULATION_OF_CELL_CYCLE_G2_M_PHASE_TRANSITION,-0.8981229445227153,0.9172250800434562,-0.9152249104108883,1.0
GOBP_NEGATIVE_REGULATION_OF_FAT_CELL_DIFFERENTIATION,-1.2574545525992893,0.6257486071414078,-1.17380941559941,0.9315226755292839
GOBP_NEGATIVE_REGULATION_OF_HYDROLASE_ACTIVITY,-0.7942284178314304,0.9598202159305995,-1.2501667218286519,0.893076174085349
GOBP_NEGATIVE_REGULATION_OF_INTRACELLULAR_PROTEIN_TRANSPORT,-1.6437538355308685,0.39819556195386807,-0.5541546381060117,0.9898691630685906
GOBP_NEGATIVE_REGULATION_OF_INTRACELLULAR_TRANSPORT,-1.398890750360853,0.5350360259194611,-0.7840639804302678,1.0
GOBP_NEGATIVE_REGULATION_OF_LYMPHOCYTE_APOPTOTIC_PROCESS,-0.723488308904949,0.9690759603229878,-0.9894218038412467,0.9740629201638223
GOBP_NEGATIVE_REGULATION_OF_MUSCLE_CELL_DIFFERENTIATION,-1.1657769053685016,0.6776449411230584,-0.9176280522213773,1.0
GOBP_NEGATIVE_REGULATION_OF_PLASMA_MEMBRANE_BOUNDED_CELL_PROJECTION_ASSEMBLY,-1.1920293021662236,0.655668265758076,-0.9508340829566587,0.9877959520436078
GOBP_NEGATIVE_REGULATION_OF_PROTEASOMAL_PROTEIN_CATABOLIC_PROCESS,-1.305156740903862,0.5824273342323775,-0.670341248018742,0.9995595775482224
GOBP_NEGATIVE_REGULATION_OF_RESPONSE_TO_ENDOPLASMIC_RETICULUM_STRESS,-1.1738937021251186,0.6674991118069513,-0.851475232561245,1.0
GOBP_NEGATIVE_REGULATION_OF_SMOOTHENED_SIGNALING_PATHWAY,-0.705965843221842,0.9676972051371838,-1.5277727948892788,0.9377877590636694
GOBP_NEGATIVE_REGULATION_OF_TOR_SIGNALING,-1.3260091671969199,0.5650588808006894,-0.7966558057858109,1.0
