Term,NES_ciao,FDR_q_val_ciao,NES_necs_cent_cont,FDR_q_val_necs_cent_cont
GOBP_ACETYL_COA_METABOLIC_PROCESS,-1.0193682271737965,0.7950632495230363,-1.2716974046529943,0.7619075080673221
GOBP_ACYL_COA_METABOLIC_PROCESS,-0.9261399123810884,0.8995190792836566,-1.0183021374763053,0.8704142476070925
GOBP_ADENYLATE_CYCLASE_INHIBITING_G_PROTEIN_COUPLED_RECEPTOR_SIGNALING_PATHWAY,-0.5454166781968783,0.9931450538828487,-1.1571950076277768,0.8016451881183909
GOBP_ALPHA_AMINO_ACID_BIOSYNTHETIC_PROCESS,-1.6497976680827124,0.38998918311738,-0.8018534254550053,0.9924981950874656
GOBP_AMINO_ACID_BIOSYNTHETIC_PROCESS,-1.7574204217756464,0.3259208424932495,-1.0297934852020942,0.8756798156720191
GOBP_AMINO_ACID_CATABOLIC_PROCESS,-1.6630495895784396,0.39179142703649356,-0.9035801170932524,0.9234221797084656
GOBP_ANTEROGRADE_AXONAL_TRANSPORT,-1.4801300103133803,0.48638525008597144,-0.48568521298698725,1.0
GOBP_ASSOCIATIVE_LEARNING,-0.7144931727404151,0.9688816406994986,-1.5365385034492938,0.6518806479394605
GOBP_AXONAL_TRANSPORT,-1.6379517788190354,0.39933334017751276,-0.7075616144533623,1.0
GOBP_AXO_DENDRITIC_TRANSPORT,-1.425061010064056,0.5163993543779908,-0.680506693343968,0.9991715944326092
GOBP_BILE_ACID_METABOLIC_PROCESS,-1.3519051482218518,0.5502606087382423,-1.105372194978879,0.8216453679950664
GOBP_CALCINEURIN_MEDIATED_SIGNALING,-0.9597158799133084,0.8636761148768105,-1.3555155230464222,0.7286571697563381
GOBP_CALCIUM_ION_REGULATED_EXOCYTOSIS,-1.0889363178237899,0.7626084496295068,-1.5756971013991703,0.635886993958889
GOBP_CALCIUM_MEDIATED_SIGNALING,-1.2062479985606318,0.6525627827065633,-0.8830217374494731,0.9571878465276169
GOBP_CARBOXYLIC_ACID_TRANSMEMBRANE_TRANSPORT,-0.7333974303921648,0.9649878928073806,-0.9683058029719239,0.8964633500029072
GOBP_CELLULAR_COMPONENT_ASSEMBLY_INVOLVED_IN_MORPHOGENESIS,-0.7958922834111055,0.9621612064533814,-0.6946247257454496,1.0
GOBP_CELLULAR_PIGMENTATION,-0.920706267174925,0.8940657717272757,-1.0941317857387514,0.8392026732094204
GOBP_CELLULAR_RESPONSE_TO_FATTY_ACID,-1.2319206745292948,0.6386472369664173,-0.5752800834873661,1.0
GOBP_CELL_CYCLE_G2_M_PHASE_TRANSITION,-0.6193158153369362,0.9806507530002176,-1.2151772414762163,0.8003031588341442
GOBP_CENTROSOME_DUPLICATION,-1.0398801628555676,0.7912124820755311,-0.8639282399282996,0.9724513378333823
GOBP_CERAMIDE_METABOLIC_PROCESS,-1.2520135423696646,0.6272955160581474,-0.8995218002417315,0.9260701928421545
GOBP_CILIUM_MOVEMENT,-1.2683428260326919,0.6228103595917023,-1.1909830663644783,0.7941534014843205
GOBP_CILIUM_OR_FLAGELLUM_DEPENDENT_CELL_MOTILITY,-1.341068946502221,0.5545341705976159,-1.1113979323685421,0.8341084552775571
GOBP_CYTOKINESIS,-0.6596450005135536,0.9704507606421192,-0.7628672195335382,0.9743806052515631
GOBP_CYTOSOLIC_TRANSPORT,-1.325336670447583,0.5643908955025796,-1.322372985820771,0.7061982473065661
GOBP_DENDRITIC_SPINE_MORPHOGENESIS,-0.7037710062201712,0.9671904299196356,-0.9063004516708488,0.9280487282997874
GOBP_DICARBOXYLIC_ACID_METABOLIC_PROCESS,-1.4694789675788011,0.4872136770790918,-0.8614016553984588,0.9707568604088408
GOBP_DITERPENOID_METABOLIC_PROCESS,-1.618785530098937,0.3813921188731614,-1.1653673772118647,0.8057370035373749
GOBP_ELECTRON_TRANSPORT_CHAIN,-1.3680980359192172,0.5406336604815941,-0.958119915579099,0.9134934611839008
GOBP_EMBRYONIC_DIGIT_MORPHOGENESIS,-0.6656392833179882,0.9712143655622005,-1.3581244317365424,0.7510973405089957
GOBP_ENDOCARDIAL_CUSHION_DEVELOPMENT,-0.8302220352445653,0.9482019459990265,-0.6677078850734425,0.9982878095445273
GOBP_ENDOCYTIC_RECYCLING,-1.0535372535204666,0.776729723258767,-1.022091565579683,0.8793346046196396
GOBP_ENDOSOMAL_TRANSPORT,-1.505814019594724,0.4919440040066979,-1.138689175898619,0.8049786292715874
GOBP_ENDOSOME_ORGANIZATION,-0.9535860842783838,0.8679713934424541,-1.7324904669514407,0.5253835762199905
GOBP_ER_NUCLEUS_SIGNALING_PATHWAY,-1.038986054465566,0.7851363523216077,-0.9731482308292428,0.8999274078873877
GOBP_ESTABLISHMENT_OF_PROTEIN_LOCALIZATION_TO_MEMBRANE,-0.651439535556845,0.9701661784149938,-1.1945751084281173,0.7906741298978047
GOBP_ESTABLISHMENT_OF_PROTEIN_LOCALIZATION_TO_VACUOLE,-0.7108259617665347,0.9681236192332293,-1.4854171313114555,0.6074688042548453
GOBP_FATTY_ACID_CATABOLIC_PROCESS,-1.971035083386236,0.21985074084911965,-1.138714307850443,0.8119553889971675
GOBP_FATTY_ACID_DERIVATIVE_METABOLIC_PROCESS,-0.9897259037688079,0.8230616496346669,-1.2040037717720635,0.7833318622835922
GOBP_FOLIC_ACID_CONTAINING_COMPOUND_METABOLIC_PROCESS,-0.9975765334537621,0.8137367771477048,-0.8080306997585581,0.9877776182902301
GOBP_GLUCAN_BIOSYNTHETIC_PROCESS,-1.4915000947353885,0.48496538753231455,-0.9121139759855155,0.9329691342520785
GOBP_GLUTAMINE_FAMILY_AMINO_ACID_METABOLIC_PROCESS,-1.3926762283623642,0.5451953082467458,-1.1102322955451152,0.8313358112348973
GOBP_GLYCOLIPID_BIOSYNTHETIC_PROCESS,-1.7277283107027315,0.32633000869935885,-0.9114433421501223,0.9305402822238091
GOBP_GLYCOSPHINGOLIPID_METABOLIC_PROCESS,-1.4685199551454,0.4860237971766052,-1.0914256062699044,0.835606367435145
GOBP_GOLGI_TO_PLASMA_MEMBRANE_PROTEIN_TRANSPORT,-1.1061591569197653,0.735941713227511,-0.5652379883295475,1.0
GOBP_IMPORT_ACROSS_PLASMA_MEMBRANE,-0.8142601667134152,0.9532155217329922,-1.1186044282519825,0.8372585026675035
GOBP_INORGANIC_ION_IMPORT_ACROSS_PLASMA_MEMBRANE,-0.9727041972022592,0.8487281440431972,-1.021991177125822,0.8744779388343977
GOBP_INTESTINAL_ABSORPTION,-1.0044738587158062,0.8045618313559219,-1.4982699850725927,0.6086780267778397
GOBP_ISOPRENOID_METABOLIC_PROCESS,-1.6527534978406722,0.38897338926733815,-1.2088903077529614,0.7939143010383244
GOBP_LAMELLIPODIUM_ORGANIZATION,-0.8890439969541563,0.92290724782284,-0.8633874474327753,0.9697548416517768
GOBP_LIPID_DIGESTION,-0.8785020435272197,0.9246853418089357,-2.1897023319926894,0.03150988545426016
GOBP_LIPOSACCHARIDE_METABOLIC_PROCESS,-1.5437482634204513,0.47520163991000997,-1.3735817367329084,0.7809324984308803
GOBP_L_AMINO_ACID_CATABOLIC_PROCESS,-1.6334266019404704,0.3858015456015366,-0.9238911251314282,0.930137127360934
GOBP_L_AMINO_ACID_METABOLIC_PROCESS,-1.5820768571463484,0.4274408181802576,-0.9523828808256174,0.912821301780951
GOBP_MEIOTIC_CELL_CYCLE,-1.0122182259345083,0.8022475666303984,-0.954423329414216,0.9157798777484842
GOBP_MEIOTIC_CELL_CYCLE_PROCESS,-0.9749489988611313,0.8501218119794471,-1.2120449445817234,0.8015764749725404
GOBP_MEMBRANE_LIPID_BIOSYNTHETIC_PROCESS,-1.4447068522023465,0.5032144867078912,-0.9498619902828227,0.9067337408496442
GOBP_MEMBRANE_LIPID_METABOLIC_PROCESS,-1.1581520983430624,0.69017728609764,-1.1195231388773068,0.8412197944453161
GOBP_MICROTUBULE_ORGANIZING_CENTER_ORGANIZATION,-0.9310325349572172,0.8950730383037258,-1.075204916729629,0.8340877235309802
GOBP_MITOCHONDRIAL_GENE_EXPRESSION,-1.1939778171434405,0.654036048566506,-0.9425478340775317,0.911069593527344
GOBP_MITOCHONDRIAL_RESPIRATORY_CHAIN_COMPLEX_ASSEMBLY,-0.7408606514131338,0.9624411398569575,-1.1769303102057918,0.8079409716773889
GOBP_MITOCHONDRIAL_TRANSLATION,-1.2967457112502931,0.5768378601966762,-0.8945203482267511,0.9313841107013965
GOBP_MITOTIC_CELL_CYCLE_CHECKPOINT_SIGNALING,-0.7762081091436922,0.9593918720675795,-0.7174114532467201,0.9974757520406052
GOBP_MODIFIED_AMINO_ACID_BIOSYNTHETIC_PROCESS,-1.432293166108654,0.5214432482522495,-0.64633585051694,1.0
GOBP_MONOATOMIC_ANION_TRANSPORT,-0.9115661178185475,0.9023089602548306,-1.4097998963259546,0.7447404008040678
GOBP_MONOCARBOXYLIC_ACID_CATABOLIC_PROCESS,-1.937853114758051,0.18562788361519186,-0.9468817375773918,0.9068054209895665
GOBP_MONOSACCHARIDE_CATABOLIC_PROCESS,-1.1922154157030538,0.6569503963300349,-1.1541383239326348,0.7896249982169093
GOBP_NEGATIVE_REGULATION_OF_CALCIUM_ION_TRANSMEMBRANE_TRANSPORT,-0.9513993894407262,0.8663810520370716,-0.7329229356613133,1.0
GOBP_NEGATIVE_REGULATION_OF_CARBOHYDRATE_METABOLIC_PROCESS,-1.120194824553946,0.7180699516411477,-1.0748088549776171,0.8296083595670537
GOBP_NEGATIVE_REGULATION_OF_CELL_CYCLE_G2_M_PHASE_TRANSITION,-0.8981229445227153,0.9172250800434562,-0.9788390507441779,0.8921156123921026
GOBP_NEGATIVE_REGULATION_OF_FAT_CELL_DIFFERENTIATION,-1.2574545525992893,0.6257486071414078,-1.0023369799683453,0.8804524844322166
GOBP_NEGATIVE_REGULATION_OF_HYDROLASE_ACTIVITY,-0.7942284178314304,0.9598202159305995,-0.9687219177534749,0.8997242307110354
GOBP_NEGATIVE_REGULATION_OF_LYMPHOCYTE_APOPTOTIC_PROCESS,-0.723488308904949,0.9690759603229878,-0.9351754952897772,0.915036488875671
GOBP_NEGATIVE_REGULATION_OF_MUSCLE_CELL_DIFFERENTIATION,-1.1657769053685016,0.6776449411230584,-0.8402644021883384,0.984466798065239
GOBP_NEGATIVE_REGULATION_OF_PLASMA_MEMBRANE_BOUNDED_CELL_PROJECTION_ASSEMBLY,-1.1920293021662236,0.655668265758076,-0.8404716529769748,0.9878750966962397
GOBP_NEGATIVE_REGULATION_OF_PROTEASOMAL_PROTEIN_CATABOLIC_PROCESS,-1.305156740903862,0.5824273342323775,-0.6312801843579432,1.0
GOBP_NEGATIVE_REGULATION_OF_RESPONSE_TO_ENDOPLASMIC_RETICULUM_STRESS,-1.1738937021251186,0.6674991118069513,-0.8202774000810836,0.9933153736708763
GOBP_NEGATIVE_REGULATION_OF_SMOOTHENED_SIGNALING_PATHWAY,-0.705965843221842,0.9676972051371838,-1.4661447546520194,0.6289776293453918
GOBP_NEUROTROPHIN_TRK_RECEPTOR_SIGNALING_PATHWAY,-0.938028780602894,0.8856891854333834,-0.7235247452735395,1.0
GOBP_NITRIC_OXIDE_MEDIATED_SIGNAL_TRANSDUCTION,-1.4207345385150405,0.5136728687104718,-0.7874777036788178,0.9940900403993078
GOBP_OLEFINIC_COMPOUND_METABOLIC_PROCESS,-1.7883650459942435,0.3248251123956783,-1.012683633471565,0.8829524432845804
GOBP_PEPTIDE_CATABOLIC_PROCESS,-1.4173538210409375,0.5192674952229014,-0.7714765129097699,0.9804139997815954
GOBP_PHENOL_CONTAINING_COMPOUND_BIOSYNTHETIC_PROCESS,-0.6693048731974066,0.9728935293883922,-0.822783762045141,0.9990729043336233
GOBP_PIGMENTATION,-0.795172844703345,0.9603173580061949,-1.8266633804977834,0.5168496489094618
GOBP_PIGMENT_BIOSYNTHETIC_PROCESS,-0.8828201974736409,0.9285331001806848,-0.9660594550474525,0.8986417753163203
GOBP_POLYSACCHARIDE_BIOSYNTHETIC_PROCESS,-1.539864576801909,0.47472551338063496,-0.9517439280538876,0.9102044567784059
GOBP_POSITIVE_REGULATION_OF_BINDING,-0.8269370160059112,0.9504349169819002,-0.8720402165697446,0.9685579765523146
GOBP_POSITIVE_REGULATION_OF_BLOOD_PRESSURE,-0.9730016245120994,0.8519273594395961,-0.9575321253060182,0.9107210397877239
GOBP_POSITIVE_REGULATION_OF_B_CELL_PROLIFERATION,-0.9026019946841233,0.9131079572351416,-1.0540552536943673,0.8463962550342591
GOBP_POSITIVE_REGULATION_OF_EXTRACELLULAR_MATRIX_ORGANIZATION,-1.008556821228187,0.8021814216622175,-1.0829718444321337,0.8380690830541893
GOBP_POSITIVE_REGULATION_OF_LIPID_BIOSYNTHETIC_PROCESS,-0.7472221339020484,0.9648647363666619,-1.134614266616902,0.8115757326842227
GOBP_POSITIVE_REGULATION_OF_MONOCYTE_CHEMOTAXIS,-1.0363684592948357,0.785873483898641,-0.7882382904311538,0.9962604321510969
GOBP_POSITIVE_REGULATION_OF_NITRIC_OXIDE_BIOSYNTHETIC_PROCESS,-0.961458664791263,0.8625807297769411,-1.1167220240961409,0.829480516066757
GOBP_POSITIVE_REGULATION_OF_REGULATED_SECRETORY_PATHWAY,-0.8562263994056628,0.932943389285942,-0.9170712012352321,0.927763719377648
GOBP_POSITIVE_REGULATION_OF_RESPONSE_TO_ENDOPLASMIC_RETICULUM_STRESS,-1.5882422373057667,0.4173601336241053,-1.1595516382387299,0.8011487464435754
GOBP_POSITIVE_REGULATION_OF_SMOOTH_MUSCLE_CELL_MIGRATION,-1.4925912081887558,0.4904090986125186,-0.46332545319692986,1.0
GOBP_POSITIVE_REGULATION_OF_SODIUM_ION_TRANSPORT,-0.767079560241205,0.961217441375509,-1.5534735924857752,0.6845568682022017
GOBP_POSITIVE_REGULATION_OF_VASCULAR_ASSOCIATED_SMOOTH_MUSCLE_CELL_PROLIFERATION,-1.2618981686064321,0.6269902102294987,-0.8126990425958979,0.9932105807161555
GOBP_PROTEINOGENIC_AMINO_ACID_BIOSYNTHETIC_PROCESS,-1.6300675940547666,0.3879486966220631,-1.051684776297855,0.8483059079140692
GOBP_PROTEIN_AUTOUBIQUITINATION,-0.6534229493533235,0.9705756030844529,-1.0802283583326817,0.8292761225048493
GOBP_PROTEIN_EXIT_FROM_ENDOPLASMIC_RETICULUM,-1.00216827227362,0.8070672134430847,-0.64273033583521,0.9967637487713606
GOBP_PROTEIN_LOCALIZATION_TO_LYSOSOME,-0.6883976748166337,0.9710755309710448,-0.9053561774775547,0.9226483638896389
GOBP_PROTEIN_LOCALIZATION_TO_VACUOLE,-0.953404248806982,0.8671591561920255,-1.093426806760045,0.8353081100778779
GOBP_PROTEIN_TARGETING_TO_MEMBRANE,-0.7688181778667686,0.9615233630943922,-1.3324900974553815,0.7368353306919818
GOBP_PROTON_TRANSMEMBRANE_TRANSPORT,-1.3500170265638274,0.5497703513684581,-1.6916690807072694,0.5110807936179621
GOBP_REGULATION_OF_CALCINEURIN_MEDIATED_SIGNALING,-1.0796710479004106,0.7676248001741955,-1.2609212327612949,0.7875095618233171
GOBP_REGULATION_OF_CALCIUM_ION_DEPENDENT_EXOCYTOSIS,-0.7420191894216567,0.963816874332602,-1.4246243530973826,0.7319796406715833
GOBP_REGULATION_OF_CARBOHYDRATE_CATABOLIC_PROCESS,-1.053706186015438,0.7777232803955489,-1.1818808679062611,0.8080881532686726
GOBP_REGULATION_OF_CELL_CELL_ADHESION_MEDIATED_BY_CADHERIN,-0.6547974698777244,0.9704722989904356,-1.356649096720934,0.7402817244135416
GOBP_REGULATION_OF_CELL_CYCLE_G2_M_PHASE_TRANSITION,-0.7474312235313073,0.9655869011291154,-1.2984679846138696,0.7057630825356974
GOBP_REGULATION_OF_DOUBLE_STRAND_BREAK_REPAIR_VIA_HOMOLOGOUS_RECOMBINATION,-1.0089408679845953,0.8023915908604394,-0.7678969459956497,0.9794704559898775
GOBP_REGULATION_OF_ENDOPLASMIC_RETICULUM_UNFOLDED_PROTEIN_RESPONSE,-1.1614907904243723,0.6861336022119745,-0.9985492770920706,0.882622039921021
GOBP_REGULATION_OF_EPITHELIAL_CELL_MIGRATION,-1.0329304349861328,0.7859007631550705,-1.0247632948584398,0.8758368935708885
GOBP_REGULATION_OF_GENERATION_OF_PRECURSOR_METABOLITES_AND_ENERGY,-1.1050780733816523,0.7374289689163916,-1.0054504900827514,0.8757147057767541
GOBP_REGULATION_OF_GLUCONEOGENESIS,-0.7948697098091299,0.9597981902350967,-0.9181360655846904,0.9291648210746148
GOBP_REGULATION_OF_GLYCOGEN_METABOLIC_PROCESS,-1.1239943040459306,0.7154435696852166,-0.969375188416138,0.9024215741891877
GOBP_REGULATION_OF_GLYCOLYTIC_PROCESS,-0.9260544076601714,0.8984743488935037,-1.250028188121686,0.760797892217992
GOBP_REGULATION_OF_MICROTUBULE_BASED_MOVEMENT,-1.0600551495353374,0.7771752384969253,-0.998863286296638,0.8866091574791347
GOBP_REGULATION_OF_MUSCLE_ORGAN_DEVELOPMENT,-1.1465084098441294,0.6917228107778446,-1.162570820134409,0.79910903420681
GOBP_REGULATION_OF_POLYSACCHARIDE_BIOSYNTHETIC_PROCESS,-1.431573655584092,0.519906673871888,-0.8767695902355047,0.96874298186686
GOBP_REGULATION_OF_POLYSACCHARIDE_METABOLIC_PROCESS,-1.360229584676154,0.5418933226215307,-0.8358354779064779,0.9905641435998999
GOBP_REGULATION_OF_VASCULAR_ENDOTHELIAL_GROWTH_FACTOR_RECEPTOR_SIGNALING_PATHWAY,-1.1463431555312589,0.690449045861443,-1.0487855666206904,0.8521560527527927
GOBP_RESPONSE_TO_FATTY_ACID,-1.2255734938766754,0.639204547901008,-0.6556080066529126,1.0
GOBP_RESPONSE_TO_MONOAMINE,-0.9577687928442099,0.8652581662789297,-0.9472958149807489,0.9100541369879237
GOBP_RESPONSE_TO_PH,-1.0321396782000896,0.7855002295824648,-1.5148592129957432,0.5985257357428039
GOBP_RESPONSE_TO_PROGESTERONE,-0.657912656473054,0.9699414257515123,-0.8495592820854442,0.9794012592031341
