Term,NES_ciao,FDR_q_val_ciao,NES_swiss_geriatric_healthy,FDR_q_val_swiss_geriatric_healthy
KEGG_ADIPOCYTOKINE_SIGNALING_PATHWAY,-0.9692328795837272,0.7801607121430285,1.1634460117270655,0.5473819466752329
KEGG_ALLOGRAFT_REJECTION,0.7930815362470821,0.9317738231917336,1.1739521227767256,0.5576384745996052
KEGG_APOPTOSIS,0.6246399392594546,0.9626543949735683,1.1961220734478275,0.629384107700844
KEGG_AUTOIMMUNE_THYROID_DISEASE,-0.7701367035065106,0.9293999763601002,0.7100295057767712,0.9378983036796783
KEGG_AXON_GUIDANCE,-0.82969118255793,0.8798738958026215,0.6170338217687917,0.9740603919049149
KEGG_B_CELL_RECEPTOR_SIGNALING_PATHWAY,1.231017468139516,0.49380925045104146,0.8715197107803144,0.952858978477353
KEGG_CELL_ADHESION_MOLECULES_CAMS,1.3934339394373094,0.3889712468931757,0.7632648049507703,0.9128814648249277
KEGG_CHEMOKINE_SIGNALING_PATHWAY,1.159813632405157,0.587652633007754,1.4733637348056667,0.302601991647928
KEGG_COMPLEMENT_AND_COAGULATION_CASCADES,2.420301339329417,0.0,1.0149405494679689,0.772791519434629
KEGG_CYTOKINE_CYTOKINE_RECEPTOR_INTERACTION,1.5895225978788003,0.1859418566508119,1.3793104885249474,0.4267266302601991
KEGG_ECM_RECEPTOR_INTERACTION,1.6024076498089783,0.19823273741184189,1.3522992500728455,0.3729521362030196
KEGG_ENDOCYTOSIS,-1.2217296749277144,0.37811083221450387,-0.9238999452812431,0.5737051792828686
KEGG_FC_EPSILON_RI_SIGNALING_PATHWAY,1.195125158935838,0.5405481748765331,0.7739256556860208,0.9308683274809753
KEGG_FOCAL_ADHESION,1.4155791494864134,0.4005863539445629,0.9443302974448645,0.8351932289557116
KEGG_GRAFT_VERSUS_HOST_DISEASE,1.0781903605497842,0.692421658674951,1.3128795257200592,0.42499196916158044
KEGG_HEMATOPOIETIC_CELL_LINEAGE,1.0420518277684176,0.7047464024584998,1.0498294094888563,0.7126312408068033
KEGG_HYPERTROPHIC_CARDIOMYOPATHY_HCM,0.7481373202282695,0.9338852394759302,1.1479623259644425,0.553646000642467
KEGG_INSULIN_SIGNALING_PATHWAY,-1.1756064874622363,0.40755810963694333,1.0716330315783176,0.6934896669879003
KEGG_INTESTINAL_IMMUNE_NETWORK_FOR_IGA_PRODUCTION,-1.1006583405201538,0.5137568994480441,1.2871313834152571,0.4456579933611736
KEGG_JAK_STAT_SIGNALING_PATHWAY,1.212254870590142,0.5199120626789973,1.1281277256302136,0.5739120575952835
KEGG_LEISHMANIA_INFECTION,-0.6475964881826557,0.9827028906180657,1.195922200523414,0.5774172823642788
KEGG_LYSOSOME,0.9712018107247384,0.8181122663285022,0.8325748208597245,0.9491709703723838
KEGG_MAPK_SIGNALING_PATHWAY,-0.7968275754647096,0.9128828155286038,0.7746836980791587,0.9631843421596071
KEGG_MELANOMA,1.0663338106344236,0.6657921042249401,-1.1577447801818581,0.34575981787137167
KEGG_NATURAL_KILLER_CELL_MEDIATED_CYTOTOXICITY,1.3029301851578454,0.40703273272569646,0.8064255797592004,0.9566334725345326
KEGG_NOD_LIKE_RECEPTOR_SIGNALING_PATHWAY,-0.6889407309198803,0.9762355631267808,1.5251910602521082,0.28091872791519434
KEGG_PATHWAYS_IN_CANCER,0.8034897503499548,0.9672888463430943,0.9770706205282284,0.7932132114592764
KEGG_PPAR_SIGNALING_PATHWAY,-1.2213886537503083,0.36879049676025916,1.419194586156464,0.38234821715387085
KEGG_PURINE_METABOLISM,-1.602424186694084,0.11669816414686825,-1.5663149604517097,0.1041548093340922
KEGG_REGULATION_OF_ACTIN_CYTOSKELETON,1.1580062990380207,0.5726648351648352,0.5336395379502897,0.9775720585229097
KEGG_RENAL_CELL_CARCINOMA,1.0737475610733673,0.6844490264532909,1.2539128730903917,0.4918727915194346
KEGG_SYSTEMIC_LUPUS_ERYTHEMATOSUS,1.6280058972984284,0.19958586189929473,1.3783356345886544,0.35865724381625436
KEGG_TOLL_LIKE_RECEPTOR_SIGNALING_PATHWAY,1.3435762766770083,0.37947624514788697,1.7181212060111857,0.07420494699646643
KEGG_TYPE_I_DIABETES_MELLITUS,1.3356497431778929,0.3743169634764293,0.9872685065207165,0.8058831627736222
KEGG_T_CELL_RECEPTOR_SIGNALING_PATHWAY,0.8181986288055034,0.9589274860345975,1.1741345262453144,0.6002372186117769
KEGG_VIRAL_MYOCARDITIS,1.3293661896992395,0.36909853206494997,0.870650098688717,0.9165949245101189
