,ciao,necs_cent_cont,necs_cent_off,swiss_cent_geriatric,swiss_cent_healthy,swiss_geriatric_healthy,ukbb
ciao,49,49,49,25,25,25,47
necs_cent_cont,49,50,50,25,25,25,47
necs_cent_off,49,50,50,25,25,25,47
swiss_cent_geriatric,25,25,25,25,25,25,25
swiss_cent_healthy,25,25,25,25,25,25,25
swiss_geriatric_healthy,25,25,25,25,25,25,25
ukbb,47,47,47,25,25,25,47
