Term,ciao,necs_cent_cont,necs_cent_off,swiss_cent_geriatric,swiss_cent_healthy,swiss_geriatric_healthy,ukbb
GOBP_2_OXOGLUTARATE_METABOLIC_PROCESS,1.0106705811906203,,,,,,
GOBP_3_UTR_MEDIATED_MRNA_STABILIZATION,-0.7153853706455157,,,,,,
GOBP_ACETYL_COA_BIOSYNTHETIC_PROCESS,-1.0261780980746895,,,,,,
GOBP_ACETYL_COA_METABOLIC_PROCESS,-1.0193682271737965,-1.2716974046529943,-1.419519598720649,,,,
GOBP_ACIDIC_AMINO_ACID_TRANSPORT,-0.5239649130098936,1.1709397250868128,1.2294588724617723,,,,
GOBP_ACID_SECRETION,,-1.0192737389377886,-0.8901690682205039,,,,1.2001202226121053
GOBP_ACROSOME_REACTION,,-0.6071707568616336,0.6906604842553293,,,,0.7154208291728229
GOBP_ACTIN_FILAMENT_BASED_MOVEMENT,1.3203208648068434,1.1969319972498267,1.1977592832404305,,,,0.939386472736903
GOBP_ACTIN_FILAMENT_BASED_PROCESS,0.7829597283550206,1.0685508736509057,0.9588028769247391,-1.0762091613035423,1.1074660496108455,1.0194903043053685,0.9182712897138388
GOBP_ACTIN_FILAMENT_BUNDLE_ORGANIZATION,0.8415395473301353,0.9889679311911155,0.9248025618773553,,,,1.0448389276960275
GOBP_ACTIN_FILAMENT_DEPOLYMERIZATION,0.985617951299277,1.2463197023147181,1.2217625977472406,,,,1.1484260637061814
GOBP_ACTIN_FILAMENT_ORGANIZATION,0.8332268808235492,1.1072600065609761,1.0261277870923815,-1.244922903554889,0.7650785117024828,0.7222684220061685,0.9330704355304362
GOBP_ACTIN_FILAMENT_POLYMERIZATION,0.9077235058804867,1.0127106429989985,0.9551727292382848,-1.3687995101127248,0.6568321024292899,0.6634903873124571,1.0069040829302023
GOBP_ACTIN_FILAMENT_SEVERING,1.5205852802196382,,,,,,
GOBP_ACTIN_MEDIATED_CELL_CONTRACTION,1.5843715975171635,1.1966630704487944,1.2502190240858189,,,,1.0357387373335663
GOBP_ACTIN_NUCLEATION,0.7629865622010028,,,,,,1.1611089671040116
GOBP_ACTIN_POLYMERIZATION_OR_DEPOLYMERIZATION,0.9720884557398952,1.0126985121380867,1.0042749797556612,-1.4563596502810887,0.7632347032817357,0.7378970745411855,0.9399285768615195
GOBP_ACTION_POTENTIAL,0.7090290162387345,-0.9525226974479564,-0.7680761941239833,,,,0.9914933101991606
GOBP_ACTIVATED_T_CELL_PROLIFERATION,0.8355594048049698,1.5641815457526331,1.5061017578497433,-0.9158519456220708,1.3970619556939425,1.4436343285378188,1.2397452738698451
GOBP_ACTIVATION_OF_GTPASE_ACTIVITY,0.49648084652523217,,,,,,
GOBP_ACTIVATION_OF_IMMUNE_RESPONSE,1.2190714023882403,1.2418388380567997,1.2236100322032815,-1.344201094550043,1.1277976528329539,1.3834156696540496,0.9511034359091501
GOBP_ACTIVATION_OF_INNATE_IMMUNE_RESPONSE,0.7433679082000492,1.080349847274357,1.0850824179548089,-1.2173545365595957,0.8873284277716589,1.2052050597080648,0.8045816360752251
GOBP_ACTIVATION_OF_PROTEIN_KINASE_ACTIVITY,1.035532374894949,1.3390617974605792,1.4334972171846136,,,,1.3728385036632
GOBP_ACTIVIN_RECEPTOR_SIGNALING_PATHWAY,0.9933735045086326,0.8598386737972447,0.8203788437051807,,,,1.2428217296027124
GOBP_ACTOMYOSIN_STRUCTURE_ORGANIZATION,0.8752312866172772,0.6894765676659047,0.7402342039108414,,,,1.2258015842496726
GOBP_ACUTE_INFLAMMATORY_RESPONSE,1.9258628600965342,1.3312555696821684,1.2784232600448306,-1.2789462967771692,1.0340213613728328,1.3870479158138767,0.9734369852628089
GOBP_ACUTE_INFLAMMATORY_RESPONSE_TO_ANTIGENIC_STIMULUS,0.6844248603355615,0.8670752961418496,0.9486792725944521,,,,0.7509860150873351
GOBP_ACUTE_PHASE_RESPONSE,1.937502170162557,1.5040924582726845,1.3910093987820207,-1.6089999264996684,1.309080092091107,1.5442197652225995,0.8831320776358212
GOBP_ACYLGLYCEROL_HOMEOSTASIS,1.7446601522669611,1.2281801493264042,1.1558178009486457,,,,1.0919879481546282
GOBP_ACYL_COA_BIOSYNTHETIC_PROCESS,-1.134700974591472,0.7486020892783478,0.43320572666794327,,,,
GOBP_ACYL_COA_METABOLIC_PROCESS,-0.9261399123810884,-1.0183021374763053,-1.1247299821557784,,,,-0.9238088913342183
GOBP_ADAPTIVE_IMMUNE_RESPONSE,1.21405356270413,1.2221584594242274,1.2681067437083178,0.7031482127387052,1.2550170873338693,1.2693759885822569,1.106559582412448
GOBP_ADAPTIVE_IMMUNE_RESPONSE_BASED_ON_SOMATIC_RECOMBINATION_OF_IMMUNE_RECEPTORS_BUILT_FROM_IMMUNOGLOBULIN_SUPERFAMILY_DOMAINS,1.1566119076903543,1.2593622489127583,1.4197145882085638,-0.7780542111349716,1.2389898820120033,1.2683794208006152,1.150319134253388
GOBP_ADAPTIVE_THERMOGENESIS,-1.0560554146690593,1.038494776636094,0.9095629818845163,-1.614793154127246,0.6036130129961417,0.581420382900952,0.7650189626623846
GOBP_ADENYLATE_CYCLASE_ACTIVATING_G_PROTEIN_COUPLED_RECEPTOR_SIGNALING_PATHWAY,1.5149290139703442,1.0058291363647007,1.097062050925441,,,,1.0564443344059469
GOBP_ADENYLATE_CYCLASE_INHIBITING_G_PROTEIN_COUPLED_RECEPTOR_SIGNALING_PATHWAY,-0.5454166781968783,-1.1571950076277768,-1.4085195415487402,,,,1.1437626535803287
GOBP_ADENYLATE_CYCLASE_MODULATING_G_PROTEIN_COUPLED_RECEPTOR_SIGNALING_PATHWAY,1.3509997244693397,0.9347698485906033,0.990260321193813,,,,1.115379626241438
GOBP_ADHERENS_JUNCTION_ORGANIZATION,1.8712106056352327,0.9660808854157921,1.1207234724830377,,,,0.864876286260537
GOBP_ADHESION_OF_SYMBIONT_TO_HOST,1.2675162647525873,1.260735401954203,1.1450185747283346,,,,
GOBP_ADIPOSE_TISSUE_DEVELOPMENT,1.1608392280573492,1.2503954950653513,1.0806944946692534,,,,0.543713717018054
GOBP_ADRENAL_GLAND_DEVELOPMENT,,0.6448821152887879,0.6846768827112505,,,,
GOBP_ADULT_BEHAVIOR,1.0402647770709288,1.041399947340437,0.8861039535786044,-1.0174666943035322,0.7432852413023137,0.9917274664387118,0.9046023114345401
GOBP_ADULT_LOCOMOTORY_BEHAVIOR,1.132044308924788,1.230112299149267,1.147973842996332,,,,1.0228148144083642
GOBP_AGGREPHAGY,-1.0568103445716577,,,,,,
GOBP_ALCOHOL_BIOSYNTHETIC_PROCESS,-0.9933845672039328,0.9192852801643442,0.7988440604293034,,,,0.9817582412716626
GOBP_ALCOHOL_CATABOLIC_PROCESS,-1.5594166615988756,0.733787871821895,-1.0920217794876756,,,,0.7231445891623065
GOBP_ALCOHOL_METABOLIC_PROCESS,-1.2228965485468284,0.9229427253948952,0.8582104028180344,-1.5258834322177623,0.6856949569830865,0.6330059011293231,0.869489720229693
GOBP_ALDEHYDE_CATABOLIC_PROCESS,-1.7497289654999124,,,,,,
GOBP_ALDEHYDE_METABOLIC_PROCESS,-1.389704632022998,1.1031286240631302,0.8597357130176891,,,,0.8864508246889535
GOBP_ALPHA_AMINO_ACID_BIOSYNTHETIC_PROCESS,-1.6497976680827124,-0.8018534254550053,-1.0995984112229673,,,,0.6237407690158088
GOBP_ALPHA_AMINO_ACID_METABOLIC_PROCESS,-1.5096158651799658,0.5551272522285607,0.5353595616698228,,,,0.781071910113189
GOBP_ALPHA_BETA_T_CELL_ACTIVATION,0.7051886789392975,1.3047428023723107,1.2253035228843314,-0.8084604065894456,1.0801099627627082,1.2177614068457066,1.2176055035171223
GOBP_ALPHA_BETA_T_CELL_DIFFERENTIATION,-0.5424365642334193,1.3856507310521438,1.3032668394534435,-1.258955984459094,1.2966530279960722,1.5681879762188846,1.1824656337529706
GOBP_ALPHA_BETA_T_CELL_PROLIFERATION,1.361101306844981,1.018614337199123,1.0200797008902769,,,,1.2589130934007011
GOBP_ALTERNATIVE_MRNA_SPLICING_VIA_SPLICEOSOME,0.9153846471575059,1.5631594522726109,1.3422270721909975,,,,1.1673526870453865
GOBP_AMEBOIDAL_TYPE_CELL_MIGRATION,0.9033999267385824,0.7198596870237866,0.7946725427176705,0.994164388373986,1.0816828154852576,0.867613930370834,1.1181853176240297
GOBP_AMELOGENESIS,,0.5582387691552702,0.6860567221369164,,,,
GOBP_AMIDE_BIOSYNTHETIC_PROCESS,-1.5316371961158675,0.6880139655720331,0.6347294097458294,,,,0.9179910882842172
GOBP_AMIDE_METABOLIC_PROCESS,-1.0825518272060597,1.0008646024224266,1.0098065018026812,-1.7135699914221885,0.781729908150132,0.855274931734251,1.1102301060866597
GOBP_AMIDE_TRANSPORT,1.276053155286252,0.8802454000547874,0.8476003609926284,-1.2290046124456542,0.8650876218491637,1.4088420661979062,0.9714797029756604
GOBP_AMINE_BIOSYNTHETIC_PROCESS,0.7130844538517073,0.9312403318195219,0.8959865714720849,,,,-0.7185768096833832
GOBP_AMINE_METABOLIC_PROCESS,0.6716879626017059,0.991558836632125,0.944876216150151,,,,0.9215437239823592
GOBP_AMINE_TRANSPORT,1.138475120088552,1.023255358388572,0.9390023677176044,,,,1.291742610819048
GOBP_AMINOGLYCAN_BIOSYNTHETIC_PROCESS,-0.781917729950814,0.5515116423137415,0.4409278606191058,,,,0.7788023689704648
GOBP_AMINOGLYCAN_CATABOLIC_PROCESS,1.7138967691797742,1.1388993511508236,1.1037862283492255,,,,0.9079667301549377
GOBP_AMINOGLYCAN_METABOLIC_PROCESS,1.7129791013529094,0.973793714592567,0.9756424441303652,-0.8767139475546953,1.5147135051140452,1.2960787219737628,0.8682397327183076
GOBP_AMINO_ACID_ACTIVATION,0.6889478160518079,,,,,,
GOBP_AMINO_ACID_BIOSYNTHETIC_PROCESS,-1.7574204217756464,-1.0297934852020942,-1.3149137620659166,,,,0.6522079937018789
GOBP_AMINO_ACID_CATABOLIC_PROCESS,-1.6630495895784396,-0.9035801170932524,-0.8719867399331069,,,,0.9449292520011066
GOBP_AMINO_ACID_IMPORT_ACROSS_PLASMA_MEMBRANE,0.5329647653837193,,,,,,
GOBP_AMINO_ACID_METABOLIC_PROCESS,-1.4917825363797512,0.6718060905104603,-0.8958607334985217,,,,0.7965378868332591
GOBP_AMINO_ACID_TRANSMEMBRANE_TRANSPORT,-0.6771706699566371,,,,,,
GOBP_AMINO_ACID_TRANSPORT,-0.5705754646003018,0.7536634602375274,0.791545454825683,,,,1.4435155608000945
GOBP_AMINO_SUGAR_METABOLIC_PROCESS,1.391158939420786,1.7107335174244505,1.810614127464314,,,,1.263389867302757
GOBP_AMP_BIOSYNTHETIC_PROCESS,-1.2865962154232151,,,,,,
GOBP_AMP_METABOLIC_PROCESS,-1.4967909318795,,,,,,
GOBP_AMYLOID_BETA_CLEARANCE,1.1681527275230807,0.7740077426773322,0.7749846516860658,,,,1.2152531912358688
GOBP_AMYLOID_BETA_FORMATION,1.0521286500860936,1.1695420173124975,1.1968590413559543,,,,1.18217185156454
