index,Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes,cohort,gmt_library
17,prerank,GOBP_TRIGLYCERIDE_RICH_LIPOPROTEIN_PARTICLE_REMODELING,0.7661052307695271,1.997882697202948,0.0,0.012809290123169163,0.139,9/14,9.13%,ANGPTL3;APOA2;CETP;APOE;APOC3;APOA1;LPL;ANGPTL4;LCAT,ciao,GO_BP
18,prerank,GOBP_HOMOPHILIC_CELL_CELL_ADHESION,0.587396589463726,1.995397096374254,0.0,0.012617201321006404,0.147,17/43,11.49%,CDH2;CDH1;CDH15;CDH11;PCDH1;CDH5;CDH6;PIK3CB;CDH3;PCDH12;DSG2;DSC2;CEACAM8;PCDH10;PCDH7;HMCN2;CELSR1,ciao,GO_BP
21,prerank,GOBP_BLOOD_COAGULATION_FIBRIN_CLOT_FORMATION,0.6710086956245269,1.976189153586798,0.0,0.016498743116288236,0.193,14/25,9.30%,F12;F11;FBLN1;F8;F2;FGB;F9;F7;FGG;F5;KLKB1;F10;FGA;GP5,ciao,GO_BP
22,prerank,GOBP_ANTIMICROBIAL_HUMORAL_IMMUNE_RESPONSE_MEDIATED_BY_ANTIMICROBIAL_PEPTIDE,0.5506357436775952,1.9749661013370325,0.0,0.015697572737267733,0.196,30/68,14.64%,CXCL9;MMP7;REG3A;CCL14;NPPB;SPINK5;CXCL10;F2;KNG1;RNASE6;HMGN2;BPIFA1;CXCL13;CCL16;CXCL12;CCL11;CXCL14;DEFA5;B2M;PGLYRP1;ANG;DCD;DEFA6;CAMP;CCL13;GAPDH;KRT6A;CXCL1;DEFA4;CCL20,ciao,GO_BP
23,prerank,GOBP_PLASMINOGEN_ACTIVATION,0.7005073487709493,1.9728633207362316,0.001524390243902439,0.0156941903686538,0.207,12/20,10.53%,F12;F11;PLAT;ANXA2;S100A10;FGB;FGG;KLKB1;FGA;CLEC3B;CTSZ;HPN,ciao,GO_BP
26,prerank,GOBP_CALCIUM_DEPENDENT_CELL_CELL_ADHESION,0.7302510344615847,1.969875257932851,0.0,0.015588961122886966,0.218,8/16,6.28%,CDH2;CDH1;CDH15;CDH11;CDH5;CDH6;CDH3;PCDH12,ciao,GO_BP
30,prerank,GOBP_KERATINOCYTE_PROLIFERATION,0.7638791096013915,1.9505436769817335,0.0015455950540958269,0.021063255494772205,0.288,9/15,10.63%,REG3A;NOTCH2;FST;SLURP1;KRT2;CDH3;LRG1;FAM3C;PTPRK,ciao,GO_BP
31,prerank,GOBP_POSITIVE_REGULATION_OF_PROTEIN_MATURATION,0.6954691828407642,1.940587861937304,0.0,0.023644109558844294,0.331,12/18,18.87%,F12;SPON1;ANXA2;GSN;S100A10;KLKB1;CLEC3B;HPN;CCBE1;MYH9;ENO1;MMP14,ciao,GO_BP
32,prerank,GOBP_CELL_KILLING,0.48002138826389457,1.9402135464485875,0.0,0.022649628760278855,0.332,53/146,17.29%,CHGA;CXCL9;GZMM;VAV1;CFHR1;LYZ;NPPB;PLA2G2A;CXCL10;F2;CFHR5;KNG1;CTSG;HMGN2;C7;PIK3CB;CXCL13;C8B;LAG3;C9;CFHR2;CXCL12;HLA-C;CCL11;CXCL14;DEFA5;B2M;ATN1;IGHG1;PGLYRP1;HLA-B;IL7R;DCD;CD55;IL12B;DEFA6;CLU;PTPRC;CAMP;CCL13;GAPDH;KRT6A;CXCL1;DEFA4;CCL20;FCGR3A;CD5L;TUBB4B;INPP5D;GZMH;TUBB;PIK3R1;C8G,ciao,GO_BP
34,prerank,GOBP_ACUTE_PHASE_RESPONSE,0.6540498106997902,1.937502170162557,0.0,0.022623741194437146,0.344,15/25,13.18%,CRP;SAA2;LBP;REG3A;F8;ORM1;LCN2;SAA1;F2;SERPINA3;SAA4;ORM2;TFRC;APCS;AHSG,ciao,GO_BP
