,ciao,necs_cent_cont,necs_cent_off,swiss_cent_geriatric,swiss_cent_healthy,swiss_geriatric_healthy,ukbb
ciao,66,59,59,7,25,24,47
necs_cent_cont,59,110,103,8,33,33,76
necs_cent_off,59,103,106,7,32,32,74
swiss_cent_geriatric,7,8,7,8,7,7,8
swiss_cent_healthy,25,33,32,7,33,32,32
swiss_geriatric_healthy,24,33,32,7,32,33,32
ukbb,47,76,74,8,32,32,84
