,ciao,necs_cent_cont,necs_cent_off,swiss_cent_geriatric,swiss_cent_healthy,swiss_geriatric_healthy,ukbb
ciao,76,13,18,10,3,2,10
necs_cent_cont,13,22,19,1,1,1,5
necs_cent_off,18,19,26,1,1,1,4
swiss_cent_geriatric,10,1,1,28,2,2,2
swiss_cent_healthy,3,1,1,2,3,2,1
swiss_geriatric_healthy,2,1,1,2,2,3,1
ukbb,10,5,4,2,1,1,18
