,ciao,necs_cent_cont,necs_cent_off,swiss_cent_geriatric,swiss_cent_healthy,swiss_geriatric_healthy,ukbb
ciao,142,124,124,36,36,36,102
necs_cent_cont,124,132,132,36,36,36,99
necs_cent_off,124,132,132,36,36,36,99
swiss_cent_geriatric,36,36,36,36,36,36,36
swiss_cent_healthy,36,36,36,36,36,36,36
swiss_geriatric_healthy,36,36,36,36,36,36,36
ukbb,102,99,99,36,36,36,102
