,ciao,necs_cent_cont,necs_cent_off,swiss_cent_geriatric,swiss_cent_healthy,swiss_geriatric_healthy,ukbb
ciao,320,208,200,38,68,65,167
necs_cent_cont,208,360,336,40,81,79,232
necs_cent_off,200,336,342,40,81,79,222
swiss_cent_geriatric,38,40,40,41,40,36,41
swiss_cent_healthy,68,81,81,40,84,79,82
swiss_geriatric_healthy,65,79,79,36,79,82,80
ukbb,167,232,222,41,82,80,276
