,ciao,necs_cent_cont,necs_cent_off,swiss_cent_geriatric,swiss_cent_healthy,swiss_geriatric_healthy,ukbb
ciao,57,0,1,0,0,1,0
necs_cent_cont,0,1,0,0,0,0,0
necs_cent_off,1,0,2,0,0,0,0
swiss_cent_geriatric,0,0,0,8,0,0,0
swiss_cent_healthy,0,0,0,0,0,0,0
swiss_geriatric_healthy,1,0,0,0,0,4,0
ukbb,0,0,0,0,0,0,6
