,ciao,necs_cent_cont,necs_cent_off,swiss_cent_geriatric,swiss_cent_healthy,swiss_geriatric_healthy,ukbb
ciao,36,34,34,3,20,20,32
necs_cent_cont,34,46,46,3,22,23,38
necs_cent_off,34,46,46,3,22,23,38
swiss_cent_geriatric,3,3,3,3,3,3,3
swiss_cent_healthy,20,22,22,3,23,23,23
swiss_geriatric_healthy,20,23,23,3,23,24,24
ukbb,32,38,38,3,23,24,40
