,ciao,necs_cent_cont,necs_cent_off,swiss_cent_geriatric,swiss_cent_healthy,swiss_geriatric_healthy,ukbb
ciao,14,1,1,0,0,0,1
necs_cent_cont,1,2,1,0,0,0,1
necs_cent_off,1,1,1,0,0,0,1
swiss_cent_geriatric,0,0,0,0,0,0,0
swiss_cent_healthy,0,0,0,0,1,0,0
swiss_geriatric_healthy,0,0,0,0,0,0,0
ukbb,1,1,1,0,0,0,1
