Term,NES_ciao,FDR_q_val_ciao,NES_swiss_cent_geriatric,FDR_q_val_swiss_cent_geriatric
GOMF_AMIDE_BINDING,-1.0054392576092168,0.725861397045647,-0.878178377790696,0.8832332139215329
GOMF_AMYLOID_BETA_BINDING,1.3007173940878478,0.376680812595409,-0.49641047701726393,1.0
GOMF_ANTIGEN_BINDING,1.2075615443062402,0.5407899814187223,1.4920351523280362,0.2655128631045295
GOMF_BETA_CATENIN_BINDING,1.651840008332307,0.07064417780415437,1.056640252863943,0.5331248264971306
GOMF_CADHERIN_BINDING,0.8423749031649809,1.0,-1.0162744259122782,0.6863476991729437
GOMF_CALCIUM_ION_BINDING,2.2195314492862677,0.0004057937198349434,1.8619464945620932,0.1188557229779236
GOMF_CARBOHYDRATE_BINDING,1.8620169331402965,0.019304186957862308,1.0815576126731348,0.5214380407907214
GOMF_CARBOXYLIC_ESTER_HYDROLASE_ACTIVITY,0.7706874312346569,1.0,1.384752658277006,0.2839693967485373
GOMF_CARGO_RECEPTOR_ACTIVITY,1.6977856694153792,0.056382782961510745,-1.0284918904818918,0.6790217324835662
GOMF_CCR_CHEMOKINE_RECEPTOR_BINDING,1.3456466532971703,0.3280319294814184,-1.2806552862935592,0.3724711298452812
GOMF_CELL_ADHESION_MEDIATOR_ACTIVITY,1.1752249781585025,0.5791967543880481,1.7294509250989654,0.18546717211939726
GOMF_CELL_ADHESION_MOLECULE_BINDING,1.3661797557116018,0.29989019286695584,1.2286731569258238,0.39887051844300736
GOMF_CELL_CELL_ADHESION_MEDIATOR_ACTIVITY,1.0470047746387352,0.7647875172505993,1.4942746185435747,0.3064997398405063
GOMF_CHEMOATTRACTANT_ACTIVITY,1.252558418456466,0.4604735414224415,-0.7368774804556928,1.0
GOMF_CHEMOKINE_ACTIVITY,1.4774479580721387,0.18394519646139648,-1.363434155591974,0.3148493875565291
GOMF_CHEMOKINE_RECEPTOR_BINDING,1.457804024738971,0.2004933124999878,-1.367652174251522,0.3297127305246884
GOMF_COLLAGEN_BINDING,1.56370689400402,0.12094052139770399,1.1801665194015734,0.4040619633305435
GOMF_CORECEPTOR_ACTIVITY,1.4044921065076486,0.259236127531765,0.8143621824714258,0.8631552214187365
GOMF_CYSTEINE_TYPE_ENDOPEPTIDASE_ACTIVITY,0.8323172087503429,1.0,0.8868419722954992,0.8217044694339141
GOMF_CYSTEINE_TYPE_PEPTIDASE_ACTIVITY,0.8659631363239454,1.0,0.8486923572131185,0.8235563423547241
GOMF_CYTOKINE_ACTIVITY,1.6447064798123787,0.07431318034542529,-1.256504014665797,0.38173366278182663
GOMF_CYTOKINE_BINDING,1.6619902317108735,0.0686177856730421,1.170223930510047,0.4044388241991265
GOMF_CYTOKINE_RECEPTOR_ACTIVITY,1.499430384737931,0.1644436184097323,0.740618713786876,0.9243799345772925
GOMF_CYTOKINE_RECEPTOR_BINDING,1.3672138631925876,0.3011600273441698,-1.417047330483568,0.25960844838866615
GOMF_ENDOPEPTIDASE_ACTIVITY,1.5508401408027548,0.13035446926831165,-0.7698751648356026,1.0
GOMF_ENDOPEPTIDASE_REGULATOR_ACTIVITY,1.6248398782512183,0.08599445246168842,-0.5715936727783676,1.0
GOMF_ENZYME_ACTIVATOR_ACTIVITY,-0.9728331768794852,0.7559165540704054,-1.7532714450234665,0.04948917109832408
GOMF_ENZYME_INHIBITOR_ACTIVITY,1.494131377605844,0.16833676144486234,-1.2469575966674236,0.3510725449736337
GOMF_EXOGENOUS_PROTEIN_BINDING,1.1100666360924463,0.6943046589054537,1.3700923708370776,0.26374028952793566
GOMF_EXOPEPTIDASE_ACTIVITY,0.7624746606340286,1.0,-0.6833479525398358,1.0
GOMF_EXTRACELLULAR_MATRIX_BINDING,2.1324291033298626,0.0004869524638019321,0.6137449609790836,1.0
GOMF_EXTRACELLULAR_MATRIX_STRUCTURAL_CONSTITUENT,2.499465723867875,0.0,1.450540501472248,0.2413685451243987
GOMF_FIBRONECTIN_BINDING,1.6958635150722723,0.055845989767554914,1.1609156864311707,0.4039135420980536
GOMF_GLYCOSAMINOGLYCAN_BINDING,2.148850732579682,0.0006086905797524151,1.1952795220580104,0.394319876337015
GOMF_GROWTH_FACTOR_ACTIVITY,1.7203116106590006,0.05144417157907508,-1.3009901190569055,0.37410458152292436
GOMF_GROWTH_FACTOR_BINDING,1.9514035220756563,0.006411540773392106,0.8683868146096365,0.8330982727147231
GOMF_GROWTH_FACTOR_RECEPTOR_BINDING,0.7705847122525424,1.0,-1.6696965467863345,0.0630497631789383
GOMF_G_PROTEIN_COUPLED_RECEPTOR_BINDING,1.1483726903736273,0.6319640430958898,-1.3280725401216664,0.34233505007633075
GOMF_HEPARIN_BINDING,2.1194735363006143,0.00040579371983494344,1.312848289768533,0.3260042687394476
GOMF_HORMONE_ACTIVITY,1.9432048701090363,0.006935383575360851,0.8010621265087051,0.862030518301424
GOMF_HYDROLASE_ACTIVITY_ACTING_ON_GLYCOSYL_BONDS,1.5055547389859412,0.15895519711248784,1.6126786447197523,0.2194259501130897
GOMF_IMMUNE_RECEPTOR_ACTIVITY,1.3685709164962936,0.30529957400856667,1.0099991054822979,0.611573271056167
