Term,NES_ciao,FDR_q_val_ciao,NES_ukbb,FDR_q_val_ukbb
GOMF_ACETYLTRANSFERASE_ACTIVITY,-1.366746858499299,0.4251488777344553,-0.8829424328998535,0.7987799583188606
GOMF_ACTIVE_MONOATOMIC_ION_TRANSMEMBRANE_TRANSPORTER_ACTIVITY,-0.931261885549954,0.7889908908793556,-0.9096278294621774,0.8232025008683571
GOMF_ACYLTRANSFERASE_ACTIVITY_TRANSFERRING_GROUPS_OTHER_THAN_AMINO_ACYL_GROUPS,-1.5235632709804894,0.29700527980714275,-1.3068213653108414,0.3687623017251361
GOMF_ATPASE_ACTIVATOR_ACTIVITY,-1.4821122983097346,0.3038764564741301,-1.475411017003322,0.3100034734282737
GOMF_ATPASE_BINDING,-0.9098535937108201,0.8125926848587011,-1.2920102098031834,0.3737591634522221
GOMF_ATPASE_REGULATOR_ACTIVITY,-0.8541481167386226,0.8686636734325486,-1.1699390877000373,0.49517193469954845
GOMF_CARBON_OXYGEN_LYASE_ACTIVITY,-1.868610727255085,0.12357465013496613,-0.7804949156816393,0.8786533022378803
GOMF_EXONUCLEASE_ACTIVITY,-0.6003397827482029,0.9859659714838649,-1.4088716455503378,0.31581478611697433
GOMF_GTPASE_ACTIVATOR_ACTIVITY,-1.2428597367226624,0.5386641269825302,-0.857768679966681,0.791641061265931
GOMF_GTPASE_ACTIVITY,-1.0380196364028134,0.6834716443598806,-0.8334954886132507,0.7972465186775711
GOMF_GTPASE_BINDING,-0.7154091989127229,0.9578655137881488,-1.2606102047205854,0.367788689254476
GOMF_GUANYL_NUCLEOTIDE_BINDING,-1.0751938064637145,0.6458366640904732,-0.8864884148011154,0.8070178031674711
GOMF_G_PROTEIN_ACTIVITY,-1.1547776825705085,0.5874150876129376,-1.5877197562548058,0.20493226814866272
GOMF_HISTONE_MODIFYING_ACTIVITY,-1.1876987950172002,0.55069845537332,-1.1525715009762372,0.5148021481817939
GOMF_HSP70_PROTEIN_BINDING,-1.1520910011670447,0.588575876859397,-0.853292794714122,0.7842738896498391
GOMF_HSP90_PROTEIN_BINDING,-1.5403481863033497,0.28508888583768505,-1.646279349540002,0.17128343174713442
GOMF_HYDROLASE_ACTIVITY_ACTING_ON_CARBON_NITROGEN_BUT_NOT_PEPTIDE_BONDS_IN_LINEAR_AMIDES,-1.7191227340509787,0.2882315889089661,-0.7000803380869436,0.9557018121713717
GOMF_HYDRO_LYASE_ACTIVITY,-1.9779060611466428,0.08380349836739083,-0.8762846508814423,0.7959821650091089
GOMF_LIGASE_ACTIVITY,-1.2250852529463456,0.5382003358038259,-1.0466095622284355,0.6226120180618271
GOMF_MANGANESE_ION_BINDING,-0.992195106022784,0.7358946017381031,-0.9623704498802657,0.781247143562275
GOMF_NAD_BINDING,-1.5416604536853382,0.29095131201395097,-1.4194525735153032,0.3308440430705105
GOMF_OXIDOREDUCTASE_ACTIVITY_ACTING_ON_THE_ALDEHYDE_OR_OXO_GROUP_OF_DONORS,-1.6455636780530585,0.2716834523343456,-1.1319992231296565,0.5206420880265965
GOMF_OXIDOREDUCTASE_ACTIVITY_ACTING_ON_THE_CH_CH_GROUP_OF_DONORS,-1.4063136229245863,0.3861159026474146,-1.3817466898805146,0.33196050215848755
GOMF_PHOSPHORIC_DIESTER_HYDROLASE_ACTIVITY,-1.4460901163459072,0.3377543211580142,-0.9201872103095098,0.8172480523991466
GOMF_POTASSIUM_ION_TRANSMEMBRANE_TRANSPORTER_ACTIVITY,-1.1982688251922657,0.5553001733687785,-0.9320141128405836,0.8056659239742797
GOMF_PROTEIN_SERINE_KINASE_ACTIVITY,-1.0423960231816323,0.6871355494108599,-1.6659750759915997,0.17714484195901353
GOMF_PROTEIN_SERINE_THREONINE_KINASE_INHIBITOR_ACTIVITY,-0.6746554205322258,0.9669361273491747,-1.1188605704237293,0.5310752057107951
GOMF_PROTON_TRANSMEMBRANE_TRANSPORTER_ACTIVITY,-1.4150529552805224,0.3845795336015536,-0.9056279879296876,0.8145584009599294
GOMF_SIGNALING_ADAPTOR_ACTIVITY,-1.368123058645661,0.4295380689086432,-0.8478699337662118,0.7816178457025973
GOMF_SNAP_RECEPTOR_ACTIVITY,-1.4530383723310234,0.3386229493353555,-1.1519781645289247,0.49708617961483537
GOMF_TRANSLATION_INITIATION_FACTOR_ACTIVITY,-0.7308991521944683,0.9478393124557206,-1.9797151685224157,0.06512678013199028
GOMF_UBIQUITIN_BINDING,-0.765626736152554,0.9293361094782392,-1.9153333984948926,0.06981590830149358
GOMF_UBIQUITIN_LIKE_PROTEIN_BINDING,-0.7046278648247268,0.9622148469879462,-1.9901410433399727,0.07988885029524138
