Term,NES_ciao,FDR_q_val_ciao,NES_swiss_cent_geriatric,FDR_q_val_swiss_cent_geriatric
GOMF_AMIDE_BINDING,-1.0054392576092168,0.725861397045647,-0.878178377790696,0.8832332139215329
GOMF_ENZYME_ACTIVATOR_ACTIVITY,-0.9728331768794852,0.7559165540704054,-1.7532714450234665,0.04948917109832408
GOMF_KINASE_ACTIVATOR_ACTIVITY,-0.913658652357653,0.8080339747537345,-1.6093518471042492,0.08377510107534097
GOMF_KINASE_ACTIVITY,-0.8155085897012306,0.9041041889854384,-1.1035446537369782,0.5551695792292416
GOMF_KINASE_BINDING,-1.1090713879306255,0.6055515843171062,-1.6415935490612295,0.07189710086923594
GOMF_LYASE_ACTIVITY,-1.769928387056119,0.23746476656029541,-1.4515990583337328,0.22289190619476312
GOMF_MAGNESIUM_ION_BINDING,-0.9853040559079121,0.7389577088930657,-1.1444759693875266,0.4854851736195157
GOMF_PROTEIN_TYROSINE_KINASE_BINDING,-1.2294942462344147,0.5474789884263546,-1.244864570153312,0.34048549715646964
GOMF_SIGNALING_ADAPTOR_ACTIVITY,-1.368123058645661,0.4295380689086432,-1.252762758618401,0.35612509637076983
GOMF_TUMOR_NECROSIS_FACTOR_RECEPTOR_BINDING,-0.7926659793809449,0.9087960399145825,-0.6959111127065559,1.0
GOMF_TUMOR_NECROSIS_FACTOR_RECEPTOR_SUPERFAMILY_BINDING,-0.9638621707118916,0.7592846597843458,-0.9829634718957259,0.742464657309731
GOMF_UBIQUITIN_LIKE_PROTEIN_LIGASE_BINDING,-0.977321201078072,0.7535614861190583,-1.5119009081517556,0.15693938834739718
GOMF_VITAMIN_BINDING,-1.051071140963034,0.6804961041407922,-1.5507455081244033,0.12898872467058478
