Term,NES_ciao,FDR_q_val_ciao,NES_swiss_cent_healthy,FDR_q_val_swiss_cent_healthy
GOMF_AMIDE_BINDING,-1.0054392576092168,0.725861397045647,0.9672305052516778,1.0
GOMF_AMYLOID_BETA_BINDING,1.3007173940878478,0.376680812595409,1.0476674743725731,0.995996586059744
GOMF_ANTIGEN_BINDING,1.2075615443062402,0.5407899814187223,1.1795441736441667,0.5823681365576102
GOMF_BETA_CATENIN_BINDING,1.651840008332307,0.07064417780415437,0.7917839768200788,1.0
GOMF_CADHERIN_BINDING,0.8423749031649809,1.0,-0.7933701461869952,0.9456533333333333
GOMF_CALCIUM_ION_BINDING,2.2195314492862677,0.0004057937198349434,0.7141536690594115,1.0
GOMF_CARBOHYDRATE_BINDING,1.8620169331402965,0.019304186957862308,1.2210694648493923,0.49618460565828987
GOMF_CARBOXYLIC_ESTER_HYDROLASE_ACTIVITY,0.7706874312346569,1.0,0.791742233166534,1.0
GOMF_CARGO_RECEPTOR_ACTIVITY,1.6977856694153792,0.056382782961510745,0.38812326767174066,0.9991465149359886
GOMF_CCR_CHEMOKINE_RECEPTOR_BINDING,1.3456466532971703,0.3280319294814184,1.5945757083042265,0.15421906116642958
GOMF_CELL_ADHESION_MEDIATOR_ACTIVITY,1.1752249781585025,0.5791967543880481,0.5117410259078699,1.0
GOMF_CELL_ADHESION_MOLECULE_BINDING,1.3661797557116018,0.29989019286695584,0.7431416142448054,1.0
GOMF_CELL_CELL_ADHESION_MEDIATOR_ACTIVITY,1.0470047746387352,0.7647875172505993,0.5600868520601018,1.0
GOMF_CHEMOATTRACTANT_ACTIVITY,1.252558418456466,0.4604735414224415,1.3384091244617426,0.2642844950213371
GOMF_CHEMOKINE_ACTIVITY,1.4774479580721387,0.18394519646139648,1.5075693275189557,0.15115220483641537
GOMF_CHEMOKINE_RECEPTOR_BINDING,1.457804024738971,0.2004933124999878,1.5261378256278604,0.16473399715504977
GOMF_COLLAGEN_BINDING,1.56370689400402,0.12094052139770399,0.7879374799716815,1.0
GOMF_CORECEPTOR_ACTIVITY,1.4044921065076486,0.259236127531765,0.9928209675732831,1.0
GOMF_CYSTEINE_TYPE_ENDOPEPTIDASE_ACTIVITY,0.8323172087503429,1.0,0.69498658074676,1.0
GOMF_CYSTEINE_TYPE_PEPTIDASE_ACTIVITY,0.8659631363239454,1.0,0.705174967189782,1.0
GOMF_CYTOKINE_ACTIVITY,1.6447064798123787,0.07431318034542529,1.5613051286805268,0.1370765291607397
GOMF_CYTOKINE_BINDING,1.6619902317108735,0.0686177856730421,0.858486033751413,1.0
GOMF_CYTOKINE_RECEPTOR_ACTIVITY,1.499430384737931,0.1644436184097323,0.9158132161738465,1.0
GOMF_CYTOKINE_RECEPTOR_BINDING,1.3672138631925876,0.3011600273441698,1.351984450704351,0.24939516358463729
GOMF_ENDOPEPTIDASE_ACTIVITY,1.5508401408027548,0.13035446926831165,0.7226074099698082,1.0
GOMF_ENDOPEPTIDASE_REGULATOR_ACTIVITY,1.6248398782512183,0.08599445246168842,1.3215594119584249,0.2772950708145216
GOMF_ENZYME_ACTIVATOR_ACTIVITY,-0.9728331768794852,0.7559165540704054,0.9569461643886167,1.0
GOMF_ENZYME_INHIBITOR_ACTIVITY,1.494131377605844,0.16833676144486234,1.4059795972053444,0.1841519538113965
GOMF_EXOGENOUS_PROTEIN_BINDING,1.1100666360924463,0.6943046589054537,1.0016054415956983,1.0
GOMF_EXOPEPTIDASE_ACTIVITY,0.7624746606340286,1.0,-0.890117834063261,1.0
GOMF_EXTRACELLULAR_MATRIX_BINDING,2.1324291033298626,0.0004869524638019321,1.4128502535416836,0.18520625889046943
GOMF_EXTRACELLULAR_MATRIX_STRUCTURAL_CONSTITUENT,2.499465723867875,0.0,1.4833024221187696,0.12888762446657184
GOMF_FIBRONECTIN_BINDING,1.6958635150722723,0.055845989767554914,1.2683309072477886,0.4023556187766714
GOMF_GLYCOSAMINOGLYCAN_BINDING,2.148850732579682,0.0006086905797524151,1.4989546468593813,0.14710289236605026
GOMF_GROWTH_FACTOR_ACTIVITY,1.7203116106590006,0.05144417157907508,1.519336819182149,0.1513058321479374
GOMF_GROWTH_FACTOR_BINDING,1.9514035220756563,0.006411540773392106,0.9214126606247552,1.0
GOMF_GROWTH_FACTOR_RECEPTOR_BINDING,0.7705847122525424,1.0,1.0978081948334002,0.8609103840682788
GOMF_G_PROTEIN_COUPLED_RECEPTOR_BINDING,1.1483726903736273,0.6319640430958898,1.4181210572817362,0.18805803698435278
GOMF_HEPARIN_BINDING,2.1194735363006143,0.00040579371983494344,1.4215445398970847,0.19555049786628736
GOMF_HORMONE_ACTIVITY,1.9432048701090363,0.006935383575360851,1.646602731047443,0.2466230440967283
GOMF_HYDROLASE_ACTIVITY_ACTING_ON_GLYCOSYL_BONDS,1.5055547389859412,0.15895519711248784,1.5931138422064128,0.11781507823613088
GOMF_IMMUNE_RECEPTOR_ACTIVITY,1.3685709164962936,0.30529957400856667,0.8885112538290558,1.0
GOMF_IMMUNOGLOBULIN_BINDING,1.1079310824404431,0.6955082005247732,0.5561106789934468,1.0
GOMF_INTEGRIN_BINDING,1.5066238544498618,0.16008268194068348,1.2346518036471517,0.47067206477732787
GOMF_KINASE_ACTIVATOR_ACTIVITY,-0.913658652357653,0.8080339747537345,1.0793521054181492,0.9122503556187768
GOMF_KINASE_ACTIVITY,-0.8155085897012306,0.9041041889854384,0.560840580418082,1.0
GOMF_KINASE_BINDING,-1.1090713879306255,0.6055515843171062,0.7452538916125232,1.0
GOMF_KINASE_REGULATOR_ACTIVITY,0.7599744520983069,1.0,1.1284178054824356,0.7585863350617171
GOMF_LIPASE_ACTIVITY,-1.008403487444013,0.7277429768898891,0.693264750410494,1.0
GOMF_LYASE_ACTIVITY,-1.769928387056119,0.23746476656029541,-1.3150487650402667,0.6944
GOMF_MAGNESIUM_ION_BINDING,-0.9853040559079121,0.7389577088930657,-0.8720175981445193,1.0
GOMF_METALLOENDOPEPTIDASE_ACTIVITY,1.6873215499193899,0.05741460887305687,0.945722606473615,1.0
GOMF_METALLOPEPTIDASE_ACTIVITY,1.2002539050277952,0.54591266811907,0.6682895708320364,1.0
GOMF_MOLECULAR_FUNCTION_INHIBITOR_ACTIVITY,1.477942151980862,0.18597581768216256,1.4577820238867936,0.15140037203195097
GOMF_MOLECULAR_TRANSDUCER_ACTIVITY,1.7027457007341051,0.05488649913424635,0.7958623026734661,1.0
GOMF_MONOCARBOXYLIC_ACID_BINDING,0.8392132292004384,1.0,1.3289144890785933,0.2723889822837191
GOMF_MONOSACCHARIDE_BINDING,1.3032783876464553,0.374697897377962,0.892802440196751,1.0
GOMF_ORGANIC_ACID_BINDING,0.8788444866774344,1.0,1.0612064528880658,0.965237385992804
GOMF_PATTERN_RECOGNITION_RECEPTOR_ACTIVITY,1.6700968196371664,0.06482802109558243,0.8730201436292913,1.0
GOMF_PEPTIDASE_ACTIVITY,1.3695453385743188,0.3069423696831512,-0.83783084927193,1.0
GOMF_PEPTIDASE_INHIBITOR_ACTIVITY,1.6949444878825966,0.05484622487032288,1.3744439666356179,0.22846088193456615
GOMF_PEPTIDASE_REGULATOR_ACTIVITY,1.5113134352894209,0.15918015738361166,1.2136427822576545,0.48579663511060966
GOMF_PEPTIDE_BINDING,1.3237010364303852,0.35770917291430376,0.988891840599481,1.0
GOMF_PHOSPHATASE_BINDING,0.8966254033084842,0.9743107213236991,0.8514754814307743,1.0
GOMF_PHOSPHOLIPASE_ACTIVITY,-1.0057129111223335,0.7298940571035885,0.7297484609523994,1.0
GOMF_PROTEASE_BINDING,1.0791025819848117,0.7045083067912051,1.0275923043711341,1.0
GOMF_PROTEIN_DIMERIZATION_ACTIVITY,0.8415593240434838,1.0,0.8865023766845329,1.0
