Term,NES_ciao,FDR_q_val_ciao,NES_swiss_geriatric_healthy,FDR_q_val_swiss_geriatric_healthy
GOMF_AMIDE_BINDING,-1.0054392576092168,0.725861397045647,1.0869985894968834,0.8072411291461292
GOMF_AMYLOID_BETA_BINDING,1.3007173940878478,0.376680812595409,0.947473883816365,1.0
GOMF_ANTIGEN_BINDING,1.2075615443062402,0.5407899814187223,0.8810197851300082,1.0
GOMF_BETA_CATENIN_BINDING,1.651840008332307,0.07064417780415437,1.029937902192929,0.933626270420899
GOMF_CADHERIN_BINDING,0.8423749031649809,1.0,0.6559698174981539,1.0
GOMF_CALCIUM_ION_BINDING,2.2195314492862677,0.0004057937198349434,0.5445436058043642,1.0
GOMF_CARBOHYDRATE_BINDING,1.8620169331402965,0.019304186957862308,1.2938764378775072,0.3206180343327161
GOMF_CARBOXYLIC_ESTER_HYDROLASE_ACTIVITY,0.7706874312346569,1.0,0.865076221777705,1.0
GOMF_CARGO_RECEPTOR_ACTIVITY,1.6977856694153792,0.056382782961510745,0.7909934436736201,1.0
GOMF_CCR_CHEMOKINE_RECEPTOR_BINDING,1.3456466532971703,0.3280319294814184,1.5245482323110253,0.1025687051953511
GOMF_CELL_ADHESION_MEDIATOR_ACTIVITY,1.1752249781585025,0.5791967543880481,-1.3122133330625811,0.918429003021148
GOMF_CELL_ADHESION_MOLECULE_BINDING,1.3661797557116018,0.29989019286695584,0.6781519152536494,1.0
GOMF_CELL_CELL_ADHESION_MEDIATOR_ACTIVITY,1.0470047746387352,0.7647875172505993,-1.0512558666092455,1.0
GOMF_CHEMOATTRACTANT_ACTIVITY,1.252558418456466,0.4604735414224415,1.3927548297414565,0.2125134576842291
GOMF_CHEMOKINE_ACTIVITY,1.4774479580721387,0.18394519646139648,1.589599316961658,0.08368836224688805
GOMF_CHEMOKINE_RECEPTOR_BINDING,1.457804024738971,0.2004933124999878,1.63217378249566,0.0624169232342282
GOMF_COLLAGEN_BINDING,1.56370689400402,0.12094052139770399,0.778927435840103,1.0
GOMF_CORECEPTOR_ACTIVITY,1.4044921065076486,0.259236127531765,0.8142536065259025,1.0
GOMF_CYSTEINE_TYPE_ENDOPEPTIDASE_ACTIVITY,0.8323172087503429,1.0,0.6840489257495637,1.0
GOMF_CYSTEINE_TYPE_PEPTIDASE_ACTIVITY,0.8659631363239454,1.0,0.7896089033106375,1.0
GOMF_CYTOKINE_ACTIVITY,1.6447064798123787,0.07431318034542529,1.6651273706158265,0.21333545403937695
GOMF_CYTOKINE_BINDING,1.6619902317108735,0.0686177856730421,0.8139466128673158,1.0
GOMF_CYTOKINE_RECEPTOR_ACTIVITY,1.499430384737931,0.1644436184097323,0.7132614292264297,1.0
GOMF_CYTOKINE_RECEPTOR_BINDING,1.3672138631925876,0.3011600273441698,1.5388013369302103,0.12709629357929195
GOMF_ENDOPEPTIDASE_ACTIVITY,1.5508401408027548,0.13035446926831165,0.5083017735836028,1.0
GOMF_ENDOPEPTIDASE_REGULATOR_ACTIVITY,1.6248398782512183,0.08599445246168842,1.3936981368462158,0.22393235705115824
GOMF_ENZYME_ACTIVATOR_ACTIVITY,-0.9728331768794852,0.7559165540704054,0.9364485445240737,1.0
GOMF_ENZYME_INHIBITOR_ACTIVITY,1.494131377605844,0.16833676144486234,1.5090574752118817,0.11026707469601778
GOMF_EXOGENOUS_PROTEIN_BINDING,1.1100666360924463,0.6943046589054537,0.4227735590824664,1.0
GOMF_EXOPEPTIDASE_ACTIVITY,0.7624746606340286,1.0,-0.6632479425225402,1.0
GOMF_EXTRACELLULAR_MATRIX_BINDING,2.1324291033298626,0.0004869524638019321,1.2898229601013966,0.3060119912461967
GOMF_EXTRACELLULAR_MATRIX_STRUCTURAL_CONSTITUENT,2.499465723867875,0.0,1.3711286337242707,0.21692209813567218
GOMF_FIBRONECTIN_BINDING,1.6958635150722723,0.055845989767554914,1.2525553779942713,0.3693617001272032
GOMF_GLYCOSAMINOGLYCAN_BINDING,2.148850732579682,0.0006086905797524151,1.3144052781461164,0.29636899889996604
GOMF_GROWTH_FACTOR_ACTIVITY,1.7203116106590006,0.05144417157907508,1.437339988684587,0.17148018248891903
GOMF_GROWTH_FACTOR_BINDING,1.9514035220756563,0.006411540773392106,0.8939328667232527,1.0
GOMF_GROWTH_FACTOR_RECEPTOR_BINDING,0.7705847122525424,1.0,1.2653372261813567,0.3496146211861779
GOMF_G_PROTEIN_COUPLED_RECEPTOR_BINDING,1.1483726903736273,0.6319640430958898,1.6484107605667757,0.062882721168812
GOMF_HEPARIN_BINDING,2.1194735363006143,0.00040579371983494344,1.2474291507790596,0.36968829408133663
