Term,NES_ciao,FDR_q_val_ciao,NES_necs_cent_cont,FDR_q_val_necs_cent_cont
GOMF_2_IRON_2_SULFUR_CLUSTER_BINDING,-1.0436531454757818,0.6886564314992654,-1.297788545241861,0.45404334742696073
GOMF_ACTIVE_MONOATOMIC_ION_TRANSMEMBRANE_TRANSPORTER_ACTIVITY,-0.931261885549954,0.7889908908793556,-1.2894801304365102,0.42418009370357673
GOMF_ACTIVE_TRANSMEMBRANE_TRANSPORTER_ACTIVITY,-0.9283284690393678,0.7914427102351387,-1.8312672926367657,0.12787110044566335
GOMF_ATPASE_ACTIVATOR_ACTIVITY,-1.4821122983097346,0.3038764564741301,-0.8793379909883525,0.8199253418656915
GOMF_ATPASE_REGULATOR_ACTIVITY,-0.8541481167386226,0.8686636734325486,-0.8020465469629354,0.8811792937949949
GOMF_CARBON_CARBON_LYASE_ACTIVITY,-1.6812770229418381,0.28015267200983196,-1.0742960609187044,0.7194712630848833
GOMF_CHLORIDE_CHANNEL_ACTIVITY,-0.5964746999258034,0.9797630166714262,-1.4322790355939023,0.33123071648954405
GOMF_DEACYLASE_ACTIVITY,-1.2083298339575397,0.5450006433988386,-1.037535006705568,0.7102091189578335
GOMF_ENZYME_SUBSTRATE_ADAPTOR_ACTIVITY,-1.1501444133603405,0.5875451170848741,-1.0135640642782902,0.6806801027251022
GOMF_GATED_CHANNEL_ACTIVITY,-1.0228428555493239,0.7061240650280538,-1.4922808398903746,0.32700262827105475
GOMF_GLUTATHIONE_TRANSFERASE_ACTIVITY,-1.165538721903665,0.5743325804018121,-1.0143153336476356,0.690582300798276
GOMF_HORMONE_BINDING,-0.9380175405505079,0.7861288685883155,-0.9217907790707945,0.8065821049022969
GOMF_HYDROLASE_ACTIVITY_ACTING_ON_CARBON_NITROGEN_BUT_NOT_PEPTIDE_BONDS_IN_LINEAR_AMIDES,-1.7191227340509787,0.2882315889089661,-0.9534018507120324,0.8048203691975155
GOMF_INSULIN_RECEPTOR_BINDING,-0.7986004117899181,0.9077148991696601,-0.8965784973458317,0.8158471329984648
GOMF_IONOTROPIC_GLUTAMATE_RECEPTOR_BINDING,-1.5815758525534291,0.28160541332202516,-0.7506912064481576,0.9161565208874088
GOMF_LIGAND_GATED_CHANNEL_ACTIVITY,-0.5483532136755516,0.9875589983227441,-1.481188000848583,0.3239629756599246
GOMF_LIGAND_GATED_MONOATOMIC_CATION_CHANNEL_ACTIVITY,-0.7954185307174995,0.9087148021823808,-1.3377003911896221,0.39571741251549275
GOMF_METALLOENDOPEPTIDASE_INHIBITOR_ACTIVITY,-1.4923964823468947,0.3007230179071552,-0.68991254214767,0.9538377879966428
GOMF_METALLOEXOPEPTIDASE_ACTIVITY,-0.8698170915645154,0.8490979826284013,-0.9382031484040088,0.8044057637652471
GOMF_METAL_ION_TRANSMEMBRANE_TRANSPORTER_ACTIVITY,-0.6708699911967488,0.9662543961084329,-1.855951343751506,0.21117586561535828
GOMF_MOLECULAR_SENSOR_ACTIVITY,-0.5956294873503689,0.9762679140077681,-1.757914357017353,0.13281747392134777
GOMF_MONOATOMIC_ANION_CHANNEL_ACTIVITY,-0.7644359055767522,0.9267582251657945,-1.4377546707401754,0.34000324774912943
GOMF_MONOATOMIC_CATION_CHANNEL_ACTIVITY,-1.309326971715109,0.48370827808914996,-1.1302812572448449,0.6359185323875074
GOMF_MONOATOMIC_CATION_TRANSMEMBRANE_TRANSPORTER_ACTIVITY,-1.1892634405252223,0.5525929053537085,-1.767593370071355,0.17552279739458349
GOMF_MONOATOMIC_ION_TRANSMEMBRANE_TRANSPORTER_ACTIVITY,-1.2547059755682666,0.5400833865728524,-1.840734850686875,0.1599817163752714
GOMF_NADP_BINDING,-0.8033139329676895,0.9080132721411419,-1.0705767503944648,0.7130613644154953
GOMF_NAD_BINDING,-1.5416604536853382,0.29095131201395097,-0.893305892638926,0.811264018806014
GOMF_N_ACETYLTRANSFERASE_ACTIVITY,-1.7730641926312547,0.25538761027893003,-0.6970507582754758,0.9580885108147109
